0;"<strong>Обязанности:</strong> <ul> <li>Поддержка рабочих мест, копировально-множительной техники, систем АКС/ВКС.</li> <li>Консультирование пользователей по телефону, электронной почте.</li> <li>Выявление ошибок на пользовательских компьютерах, программного обеспечения, восстановление работоспособности системы при сбоях и выходе из строя ИТ-оборудования.</li> <li>Подготовка и выдача новых рабочих мест, модернизация текущих.</li> <li>Работа с заявками в системе HelpDesk.</li> <li>Выполнение регламентных SLA.</li> </ul> <strong>Требования:</strong> <ul> <li> <p>Высшее техническое образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа.</p> </li> <li> <p><em>Обязательно:</em></p> </li> <li>Знание ОС Windows и офисного программного обеспечения на уровне опытного пользователя.</li> <li>Знание основ функционирования и построения ЛВС.</li> <li>Навыки диагностики и устранения неисправности ПК, комплектующих и оргтехники.</li> <li> <p><em>Желательно:</em></p> </li> <li>Опыт работы с Active Directory, системами HelpDesk.</li> <li>Умение пользоваться диагностическими утилитами.</li> <li>Умение понимать пользователей и желание решить их проблему.</li> <li>Стрессоустойчивость.</li> </ul> <strong>Условия:</strong> <ul> <li>Конкурентная оплата труда.</li> <li>Премиальные выплаты</li> <li>ДМС и страхование от несчастных случаев и болезней.</li> <li>Медицинское обслуживание и мониторинг здоровья.</li> <li>Оплачиваемая мобильная связь.</li> <li>Скидки на питание.</li> <li>Развивающие программы и тренинги.</li> <li>Материальная помощь, до­полнительные дни отдыха в связи с особыми событиями жизни.</li> <li>Санаторно – курортный отдых в Анапе и Алтай­ском крае.</li> <li>Детский оздоровительный лагерь в Анапе.</li> <li>Детские подарки на Новый год и 1 сентября.</li> <li>Дополнительный социальный пакет для членов Профсоюза.</li> <li>Скидки от партнеров компании (фитнес центры, корпоративные отели и т.д.).</li> </ul>"
1;"<p>Ведущий российский разработчик и производитель высокотехнологичной автомобильной электроники – ТЭК электроникс с 2005 года создает уникальные продукты, с учетом последних технических и научных достижений. Если Вам интересна работа на производственном предприятии, если Вас привлекает сфера автомобильной индустрии и Вас не оставляет равнодушным успех отечественной промышленности – мы будем рады видеть Вас частью нашей команды.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Прорисовка интерфейсов мобильных и WEB-приложений;</p> </li> <li> <p> Выработка общей концепции интерфейсов системы;</p> </li> <li> <p> Тестирование предложенных решений;</p> </li> <li> <p> Прототипирование и визуализация интерфейсов;</p> </li> <li> <p>Презентация созданного интерфейса заказчику, обоснование своих решений</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Наличие портфолио по UI/UX проектированию (обязательно).</li> <li>Опыт разработки пользовательских интерфейсов от 2-х лет.</li> <li>Высокий уровень владения графическими редакторами.</li> <li>Умение аргументировать свои дизайн-решения c точки зрения UI/UX.</li> <li>Знания тенденций в современном дизайне интерфейсов.</li> <li> Понимание технологий Web- разработки.</li> <li>Понимание юзабилитии процесса проектирования.</li> <li>Знание Guideline (IOS, Android).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Место работы: Москва, ул. 16-я Парковая, (м. Щелковская);</li> <li>Рабочий день с 10-00 до 19-00 (понедельник-пятница);</li> <li>Оформление на работу в соответствии с ТК РФ;</li> <li>Уровень зарплаты обсуждается по итогам собеседования;</li> <li>Отсутствие дресс-кода;</li> <li>Работа в команде профессионалов высокого уровня с возможностью карьерного и профессионального роста;</li> <li>Возможность влиять на проект хорошими идеями и видеть свой вклад в конечном продукте;</li> <li>Бесплатные обеды.</li> </ul>"
2;"<p>ECommPay IT – международная компания, с нами работают более 500 молодых специалистов в семи офисах мира, расположенных в Европе, Азии, России и странах СНГ, со штаб-квартирой в Великобритании.</p> <p>Мы даем клиентам комплексные решения по приему и обработке онлайн платежей в сфере эквайринговых решений и мобильной коммерции.</p> <p>Благодаря команде ИТ-профессионалов платежной индустрии, качественному менеджменту и собственному отлаженному производству программного обеспечения ECommPay IT помогает своим клиентам запускать новые эффективные продукты и услуги.</p> <p>У нас около 16 проектов разработки, а сейчас мы ищет разработчика в команду Админки процессинга.<br />Админка — это продукт для внутреннего пользования, который объединяет в себе управление настройками порядка 7-ми проектов компании, имеет развитый интерфейс, предназначенный для работы с очень большим объемом данных. Упор делается на производительность, удобство и скорость работы пользователя и на современность используемых технологий.<br />Мы используем готовый ui-kit, поэтому сосредотачивает своё внимание на логике больше, чем на вёрстке.</p> <p>Мы расширяем свою команду и ищем Frontend-разработчика</p> <p><strong>Стек технологий</strong>: React, Redux.</p> <p><strong>Что ждем от будущего коллеги:</strong><br />• Уверенный знания JavaScript, CSS, HTML<br />• React + Redux<br />• Понимание принципов работы rest api<br />• Опыт работы с высоконагруженными интерфейсами<br />• Опыт работы с GIT<br /><strong>Плюсом будет:</strong><br />• Навыки работы с базами данных (написание простых SQL запросов)<br />• Опыт написания тестов<br />• Опыт разработки на других языках программирования</p> <p><strong>Что получит наш коллега:</strong></p> <ul> <li>Удобный график работы: у нас гибкое начало дня с 8:00 до 11:00;</li> <li>Официальное оформление;</li> <li>Конкурентную зарплату (обсуждаем с каждым кандидатом);</li> <li>Соц. пакет (оплата больничных, отпусков, ДМС, оплата питания и частичная оплата занятий фитнесом);</li> <li>Благоприятную среду для профессионального развития: возможность посещения профильных конференции, тренингов, заказ</li> </ul> <p>необходимой литературы;</p> <ul> <li>Отсутствие дресс-кода; свободная и позитивная атмосфера.</li> </ul>"
3;"<p><strong>Обязанности:</strong></p> <p>В2В продажа систем автоматизированного проектирования, а именно:</p> <ul> <li>Анализ рынка, поиск новых заказчиков;</li> <li>Участие в отраслевых выставках, конференциях и иных активностях для привлечения новых заказчиков;</li> <li>Квалификация новых заказчиков (соответствие по размеру, бюджету, проблематике), выявление потребности заказчика и адаптация предложения;</li> <li>Демонстрация продукта (совместно с техническим специалистом), подготовка плана апробации продукта заказчиком, сопровождение апробации продукта заказчиком;</li> <li>Формирование ТКП для заказчика, отработка возражений, заключение сделок;</li> <li>Координация работ по внедрению, контроль сроков по проектам внедрения;</li> <li>Мониторинг удовлетворенности заказчика, поддержка и развитие доверительных отношений после продажи;</li> <li>Проработка планов по дальнейшему развитию продукта для достижений целей заказчика, upsale, продажа техподдержки.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт продаж продуктов и услуг в сегменте B2B с циклом продаж от года;</li> <li>Готовность освоения новой предметной области;</li> <li>Навыки эффективной коммуникации с людьми и результативного ведения переговоров;</li> <li>Готовность к частым командировкам в разные уголки РФ;</li> <li>Будет плюсом: технический бэкграунд или опыт продаж технически сложных продуктов в сегменте B2B, опыт в продажах или внедрении систем типа: ECAD, CAD, PLM, PDM, опыт руководителя или куратора проекта;</li> </ul> <strong>Условия:</strong> <ul> <li>Высокая заработная плата, прозрачная премиальная система;</li> <li>Оформление в соответствии с ТК РФ;</li> <li>Для специалистов из других городов - компенсация оплаты жилья в городе;</li> <li>Компенсация питания</li> </ul>"
4;"<p>Компания, работающая на В2В рынке, являющаяся лидером своего сегмента рынка, приглашает на работу менеджера проекта автоматизации продаж на ранней стадии его реализации.</p> <p><strong>Обязанности:</strong></p> <p>1. Сбор и формализация требований руководителей компании и бизнеса к системе, ее частям, алгоритмам и т.д.<br />2. Планирование и организация работ по созданию и развитию системы .<br />Формирование, визуализация и поддержание в актуальном состоянии общей структуры системы<br />3. Управление системой – настройки, доступы, контент и т.д.<br />4. Организация сбора аналитики, анализ статистических и аналитических данных<br />Сбор обратной связи от клиентов и сотрудников направления, анализ звонков КЦ по функционалу системы и реализация изменений в интерфейсе системы.<br />5. Подготовка и предоставление необходимой отчетности по проекту</p> <strong>Требования:</strong> <ul> <li>Образование: Высшее</li> <li>Знание ин. языков: английский приветствуется, но не обязательно</li> <li>Опыт работы: участие в построении web интерфейсов, опыт координации их реализации</li> <li>Профессиональные компетенции: понимание современных технологий в построении Web систем, хорошие навыки управления сложными проектами и опыт внедрения этих проектов, умение работать с большими объемами данных и аналитикой</li> <li>Личные качества: коммуникативные способности, системное мышление, умение налаживать и поддерживать конструктивные отношения, публичность</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>График работы с 8.30 до 17.30 ч. (возможна корректировка).</li> <li>Стартовая з/п - 200000-300000 руб. (по результатам собеседования).</li> <li>Социальный пакет: добровольное медицинское страхование; профессиональное обучение.</li> <li>Перспективы роста. Дружный коллектив.</li> <li>Офис: ст. МЦК «Новохохловская».​​​​​​​​​​​​​​</li> </ul>"
5;"<strong>Обязанности:</strong> <ul> <li> <p>формирование dashboard и отчетности по различным направлениям бизнеса;</p> </li> <li> <p>автоматизация управленческой отчетности;</p> </li> <li> <p>подготовка аналитических и презентационных материалов для ТОП менеджмента компании;</p> </li> <li> <p>анализ ключевых финансовых и натуральных показателей по различным направлениям бизнеса;</p> </li> <li> <p>разработка методологии формирования отчетности по определенным направлениям бизнеса.</p> </li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li> <p>высшее экономическое/техническое образование;</p> </li> <li> <p>хорошие аналитические способности;</p> </li> <li> <p>высокий уровень владения Excel;</p> </li> <li> <p>навыки формирования презентационных материалов;</p> </li> <li> <p>знание основных принципов формирования финансовой отчетности и финансового анализа;</p> </li> <li> <p>знание языков программирования (SQL, VBA, Python или прочее) или опыт работы в Power BI, Power Query являются преимуществом.</p> </li> </ul> <p> </p> <strong>Условия:</strong> <ul> <li>Стабильная белая зарплата и премии два раза в год;</li> <li>Скучно не будет— у нас множество интересных и сложных проектов;</li> <li>Учиться— мы сделали обучение доступным: вы можете проходить тренинги в корпоративном университете МТС как очно, так и дистанционно, у МТС есть собственная виртуальная библиотека с сотнями книг по менеджменту, карьере и хобби;</li> <li>Расти и развиваться— вы сами выбираете стать экспертом или руководителем</li> <li>Быть здоровым— ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж, бесплатные тренировки по волейболу и баскетболу, футбольная команда, беговой клуб;</li> <li>Хорошо отдохнуть — отпуск 31 день;</li> <li>Раскрыть талант— мы поддерживаем хобби сотрудников, корпоративный и кукольный театр;</li> <li>Помогать людям вокруг— у нас есть программы помощи детям из детских домов, мы обучаем пенсионеров безопасному поведению в сети, сдаем кровь, очищаем парки от мусора на волонтерских субботниках и многое другое.</li> </ul>"
6;"<strong>Обязанности:</strong> <p>1. Выполнение проектных задач на 1С ERP 2.1 (Закуп, Продажи, Производство, Казначейство, Логистика)<br />2. Поддержка ЗУП 3.1, БП 3.0<br />2. Поддержка пользователей<br />3. Поддержка обменов<br />4. Разработка отчетов</p> <strong>Требования:</strong> <p>Знание модели построения конфигураций 1С на управляемых формах;<br />знание стандартов разработки</p> <strong>Условия:</strong> <p>Официальное трудоустройство в соответствии с ТК РФ;<br />работа в офисе в центре Новосибирска;<br />гибкий график работы;<br />возможность работать удаленно;<br />заработная плата обсуждается с кандидатом индивидуально.</p>"
7;"<p>Команда <strong>ПИК-Франшиза</strong>, которая внедряет лучшие практики строительства в регионах России, ищет в команду <strong>Руководителя web-продукта.</strong></p> <p>Обязанности:</p> <ul> <li>Разработка архитектуры комплекснного корпоративного сервиса - продукта <strong>ПИК-Платформа;</strong></li> <li>Составление концептов по продукту, разработка презентаций, базовое фин.моделирование;</li> <li>Бизнес-анализ, составление ТЗ к разработке верхнего уровня;</li> <li>Защита бюджета и плана проекта, управление работами и результатами, операционное взаимодействие с подрядчиками;</li> <li>Релиз-менеджмент и контроль выдачи, проведение приемочных испытаний прототипов и итогового функционала;</li> <li>Определение требований к сопровождению и контроль SLA. Управление технической поддержкой первых лиц (разбор инцидентов, локализация проблем);<br />Реализации централизованного логирования и мониторинга работоспособности/доступности сервисов.</li> </ul> <p>Требования:</p> <ul> <li>Понимание принципов организации разработки и технической поддержки информационных систем в группе компаний;</li> <li>Обязательны знания жизненного цикла разработки и сопровождения ПО;</li> <li>Широкий технический кругозор: знание основных продуктов и решений на рынке IT (вычислительная и сетевая инфраструктура, СХД, ИБ, облачные сервисы, виртуализация, DevOps, развёртывание и поддержка сред, программные инфраструктурные решения, решения в области управления и мониторинга;</li> <li>Опыт работы продакт-менеджером от 3-ех лет, действующий продукт - web-решение или платформа-агрегатор.</li> </ul> <p>Условия работы:</p> <ul> <li>Оформление в соответствии с ТК РФ;</li> <li>Официальная заработная плата обсуждается при собеседовании;</li> <li>После испытательного срока медицинское обслуживание;</li> <li>Премия по итогам года.</li> </ul>"
8;"<p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка и согласование концепции, цели и основных этапов проектам ( национальная система маркировки и прослеживаемости товаров) ;</li> <li>Реализация проекта в согласованные сроки, в рамках выделенного бюджета и с требуемым уровнем качества;</li> <li>Ведение документации по проектам;</li> <li>Разработка методических документов, материалов для представления в федеральные органы исполнительной власти;</li> <li>Оперативное и стратегическое планирование реализации проекта создания ПО;.</li> <li>Определение возможности использования готовых программных продуктов;</li> <li>Подготовка и проведение презентаций;</li> <li>Подготовка и внесение изменений в проекты;</li> <li>Подготовка и систематическое ведение отчетных документов о работе проекта: протоколов встреч, реестров задач, справок для руководства, пр;</li> <li>Выявление рисков, грозящих проекту, организация мероприятий по их устранению или минимизации влияния;</li> <li>Контроль выполнения задач внешними и внутренними участниками проекта.</li> </ul> <strong>Требования:</strong> <ul> <li> <p>Подтвержденный опыт участия в создании и/или развитии крупных инженерных или IT-проектов, приветствуется опыт руководства такими проектами или отдельными направлениями таких проектов;</p> </li> <li> <p>Умение структурирования и систематизации больших объемов информации;</p> </li> <li> <p>Опыт проведения встреч на уровне вторых лиц международных компаний;</p> </li> <li> <p>Опыт в подготовке отчетных документов, понимание правил и опыт ведения документооборота;</p> </li> <li> <p>Грамотная устная и письменная речь;</p> </li> <li> <p>Приветствуется знание английского языка;</p> </li> <li> <p>Приветствуются знания методологий проектирования и разработки ПО;</p> </li> <li> <p>Приветствуются знания методологии финансового и бухгалтерского учета, налогового учета, производственного учета, процессов бюджетирования;</p> </li> <li> <p>Приветствуются знания логистических и товарных операций.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Крупный проект федерального масштаба;</li> <li>Сложные и интересные задачи;</li> <li>Стабильная &quot;белая&quot; заработная плата;</li> <li>Оформление по ТК РФ;</li> <li>Расширенный социальный пакет.</li> </ul> <p><em>Благодарим за интерес, проявленный к нашей вакансии. Ваше резюме будет рассмотрено в течение 2 недель. Отсутствие ответа в указанный срок означает что, к сожалению, пока не можем вам предложить данную вакансию</em></p> <p> </p>"
9;"<strong>Обязанности:</strong> <ul> <li>Взаимодействие с Бизнес Пользователями, Функциональными Заказчиками, сбор требований на автоматизацию бизнес-процессов.</li> <li>Анализ требований, принятие решений о технической реализации требований. Оценка технической реализации требований, предлагаемой подрядчиками.</li> <li>Проработка технических решений и оценка влияния планируемых изменений ИТ архитектуры на действующие информационные системы.</li> <li>Формирование Функциональных требований, Запросов на изменения, постановка задачи разработчикам.</li> <li>Оценка и утверждение трудоемкости разработок, сроков разработки с учетом необходимости доработки смежных компонент и их резервирования.</li> <li>Контроль соблюдения правил разработки, критериев оценки качества работы подрядчиков, методик оценки трудозатрат по своему направлению.</li> <li>Контроль качества выполнения разработок внешними подрядчиками в рамках управления изменениями и внедрения новых решений.</li> <li>Участие в тестировании, приемо-сдаточных испытаниях (нагрузочных, регрессионных тестированиях).</li> <li>Разбор технических проблем, которые не смогли быть решены в рамках стандартных процедур. Участие в расследовании критических инцидентов, поиск корневых проблем. Контроль их устранения.</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее техническое или инженерное образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа.</li> </ul> <p>Знание:</p> <ul> <li>Процессов управления архитектурой и контроля качества внедрения информационных систем.</li> <li>Основных механизмов платформы 1С предприятие 8.3.</li> <li>Бизнес-процессов инжиниринговых, строительных компаний.</li> <li>Методологии IDEF, EPC, UML, BPMN 2.0.</li> </ul> <p><em>Навыки:</em></p> <ul> <li>Управления требованиями.</li> <li>Формирование требований к автоматизации бизнес-процессов строительных компаний.</li> <li>Исследования и анализа данных.</li> <li>Моделирования процессов.</li> </ul> <p>Инструменты:</p> <ul> <li>Проектирования ИС.</li> <li>Управления тестированием и внедрением.</li> <li>Разработки пользовательских инструкций.</li> </ul> <p>Опыт:</p> <ul> <li>Практический опыт внедрения систем управления на базе платформы 1С в строительных компаниях.</li> <li>Блоки учета: строительство, складская логистика, транспортная логистика, регламентированный и управленческий учет.</li> <li>Формирования требований к автоматизации бизнес-процессов строительных или проектных организаций.</li> <li>Моделирования и реинжиниринга бизнес-процессов.</li> </ul> <p><em>Прочие:</em></p> <ul> <li>Деловые коммуникации с функциональными заказчиками и ИТ подрядчиками.</li> <li>Обязательн.о: Word, Excel, PowerPoint и Visio.</li> <li>Желательно: JIRA, Confluence, MindManager<strong>, </strong>Business studio.</li> <li>Английский язык – чтение технической литературы.</li> </ul> <strong>Условия:</strong> <ul> <li>Конкурентная оплата труда.</li> <li>Премии по результатам работы.</li> <li>ДМС и страхование от несчастных случаев и болезней.</li> <li>Медицинское обслуживание и мониторинг здоровья.</li> <li>Оплачиваемая мобильная связь.</li> <li>Скидки на питание.</li> <li>Развивающие программы и тренинги.</li> <li>Материальная помощь, до­полнительные дни отдыха в связи с особыми событиями жизни.</li> <li>Компенсационный пакет при релокации в другой город.</li> <li>Санаторно – курортное обе­спечение в г. Анапа и Алтай­ском крае для работников и членов семей, а также детский оздоровительный лагерь в г. Анапа.</li> <li>Детские подарки на Новый год и 1 сентября.</li> <li>Дополнительный социальный пакет для членов Профсоюза.</li> <li>Скидки партнеров Компании (например: в скидки в корпора­тивных отелях), фитнес – залах.</li> </ul>"
