Number;"1.274 key skills"
0;"SQL"
1;"Управление проектами"
2;"Английский язык"
3;"AutoCAD"
4;"Пользователь ПК"
5;"Linux"
6;"MS SQL"
7;"Информационные технологии"
8;"Проектная документация"
9;"Разработка технических заданий"
10;"Грамотная речь"
11;"1С программирование"
12;"Python"
13;"Работа в команде"
14;"1С: Предприятие 8"
15;"Автоматизация технологических процессов"
16;"MS Visio"
17;"Git"
18;"JavaScript"
19;"Грамотность"
20;"C++"
21;"MS Project"
22;"PostgreSQL"
23;"1С: Документооборот"
24;"Автоматизация"
25;"MS PowerPoint"
26;"Бизнес-анализ"
27;"MySQL"
28;"1С: Бухгалтерия"
29;"Оптимизация бизнес-процессов"
30;"Java"
31;"Инженерные системы"
32;"АСУ ТП"
33;"Разработка проектной документации"
34;"1С: Зарплата и управление персоналом"
35;"Oracle Pl/SQL"
36;"Ведение переговоров"
37;"HTML"
38;"1С: Управление Торговлей"
39;"ORACLE"
40;"САПР"
41;"КИПиА"
42;"C#"
43;"ООП"
44;"Подготовка презентаций"
45;"SCADA"
46;"Обновление конфигурации 1С"
47;"XML"
48;"Автоматизация производства"
49;"PHP"
50;"REST"
51;"SAP"
52;"MS SQL Server"
53;"Mac Os"
54;"BPMN"
55;"Delphi"
56;"Организаторские навыки"
57;"Деловое общение"
58;"Аналитическое мышление"
59;"UML"
60;"CSS"
61;"1С: Управление Производственным Предприятием"
62;"Agile Project Management"
63;"Базы данных"
64;"Тестирование"
65;"Обучение и развитие"
66;"Управление временем"
67;"Qt"
68;"Atlassian Jira"
69;"Системный анализ"
70;"Постановка задач разработчикам"
71;"Cистемы управления базами данных"
72;"Scrum"
73;"MATLAB"
74;"ERP"
75;"SAP ERP"
76;"Электронный документооборот"
77;"Строительство"
78;"Деловая коммуникация"
79;"Проектирование"
80;"Docker"
81;"Проведение презентаций"
82;"VBA"
83;"Разработка ПО"
84;"C/C++"
85;"Компас-3D"
86;"Работа с базами данных"
87;"Управление командой"
88;"Автоматизация документооборота"
89;"Деловая переписка"
90;"Управление рисками"
91;"Разработка инструкций"
92;"Spring Framework"
93;"Ориентация на результат"
94;"1С: Торговля"
95;"SolidWorks"
96;"1С: Зарплата и кадры"
97;"1C: Бухгалтерия"
98;"ERP-системы на базе 1С"
99;"Bash"
100;"Системное мышление"
101;"Системная интеграция"
102;"Мобильность"
103;"MS Excel"
104;"Руководство коллективом"
105;"MS Office"
106;"Администрирование серверов Linux"
107;"Монтаж инженерных систем"
108;"Windows 7"
109;"Моделирование бизнес процессов"
110;"Java SE"
111;"Работа с большим объемом информации"
112;"Анализ данных"
113;"B2B Продажи"
114;"Поиск и привлечение клиентов"
115;"CI/CD"
116;"Kubernetes"
117;"MS Outlook"
118;"Техническая поддержка"
119;"База данных: Oracle"
120;"Ведение документации"
121;"Mathcad"
122;"Управление разработкой"
123;"Документальное сопровождение"
124;"1С: Торговля и склад"
125;"CRM"
126;"нормативно-техническая документация"
127;"Системы видеонаблюдения"
128;"ERP Systems"
129;"SCAD"
130;"Аналитические исследования"
131;"Java EE"
132;"Управление персоналом"
133;"SVN"
134;"Olap (online analytical processing)"
135;"1С-Битрикс"
136;"SAP MM"
137;"Аналитический склад ума"
138;"MS Access"
139;"Системный подход"
140;"SAP R/3"
141;"VMware"
142;"PLC"
143;"Производство пусконаладочных работ"
144;"SAP PP"
145;"Проектно-конструкторская деятельность"
146;"BIM"
147;"ASP.NET"
148;"ГОСТ"
149;"Oracle BI"
150;"1С: Предприятие"
151;"SAP PM"
152;"MS Visual Studio"
153;"СУБД"
154;"Пуско-наладочные работы"
155;"Настройка сетевых подключений"
156;"Настройка ПО"
157;"Настройка ПК"
158;"Технические системы и средства безопасности"
159;"Компас"
160;"Управленческое консультирование"
161;"SAP BW"
162;"3D Моделирование"
163;"Управление производством"
164;"Договорная работа"
165;"Аналитические способности"
166;"Расстановка приоритетов"
167;"Project Expert"
168;"Ориентация на клиента"
169;"Чтение чертежей"
170;"Yii"
171;".NET Framework"
172;"Администрирование серверов Windows"
173;"Информационная безопасность"
174;"ITIL"
175;"Электрические системы и слаботочные системы"
176;"Разработка концепции"
177;"jQuery"
178;"Администрирование сетевого оборудования"
179;"Аналитика"
180;"RabbitMQ"
181;"Cassandra"
182;"Hibernate ORM"
183;"CAD"
184;"Навыки продаж"
185;"Активные продажи"
186;"React"
187;"HTML5"
188;"Проектирование пользовательских интерфейсов"
189;"Android"
190;"Leadership Skills"
191;"Team management"
192;"Производственное планирование"
193;"ЕСКД"
194;"Transact-SQL"
195;"Bentley"
196;"Администрирование"
197;"Cisco"
198;"Математический анализ"
199;"MongoDB"
200;"руководство командой разработчиков"
201;"Project management"
202;"DevOps"
203;"Ansible"
204;"PHP5"
205;"Телефонные переговоры"
206;"Стратегическое планирование"
207;"Оптимизация бизнес процессов"
208;"AngularJS"
209;"Unit Testing"
210;"JSON"
211;"WPF"
212;"Управленческий учет"
213;"Системы безопасности"
214;"Коммуникабельность"
215;"Автоматизированное рабочее место (АРМ)"
216;"Pascal"
217;"Внутренний контроль"
218;"Схемотехника электронного оборудования"
219;"Холодные продажи"
220;"JSON API"
221;"Ответственность"
222;"1С: Производство"
223;"Проектный менеджмент"
224;"Контроль исполнения  решений"
225;"ABAP"
226;"Django Framework"
227;"Техническая документация"
228;"Администрирование серверов"
229;"SAP Business Objects"
230;"SAP BI"
231;"Проведение тестирований"
232;"MS Movie Maker"
233;"Формирование бюджета"
234;"Умение работать в команде"
235;"Заключение договоров"
236;"ITSM"
237;"Контроль качества"
238;"TCP/IP"
239;"Oracle 11G"
240;"ElasticSearch"
241;"JUnit"
242;"Power BI"
243;"Финансовая отчетность"
244;"UI"
245;"Helpdesk"
246;"Ремонт ПК"
247;"Active Directory"
248;"SAP SD"
249;"PMBOK"
250;"АСУТП"
251;"SQLite"
252;"Bentley Systems"
253;"Умение работать в коллективе"
254;"SAP HR"
255;"Финансовый менеджмент"
256;"Управление процессами"
257;"Моделирование процессов"
258;"систематизация"
259;"стратегические инициативы"
260;"разработка нормативных документов"
261;"СМК"
262;"Бизнес-моделирование"
263;"TIA Portal"
264;"Autodesk Revit"
265;"Складская логистика"
266;"SOAP"
267;"Способность обучать других"
268;"Kotlin"
269;"CODESYS"
270;"Работа с оргтехникой"
271;"Навыки презентации"
272;"Teamleading"
273;"RPA"
274;"Спортивные мероприятия"
275;"Redis"
276;"Бизнес-планирование"
277;"Оптимизация логистических процессов"
278;"Altium Designer"
279;"Test case"
280;"Управление знаниями"
281;"T-FLEX"
282;"Бережливое производство"
283;"1C: Финансы"
284;"Golang"
285;"NoSQL"
286;"Windows Os"
287;"Консультирование"
288;"ПЛК"
289;"Cognos BI"
290;"Математическая статистика"
291;"Проектирование зданий и сооружений"
292;"SAP FM"
293;"SAP FI"
294;"1С: Розница"
295;"Mercurial"
296;"Целеустремленность"
297;"Техническое обслуживание"
298;"Настройка DNS"
299;"Навыки переговоров"
300;"Jenkins"
301;"AWS"
302;"Функциональное тестирование"
303;"SAP CO"
304;"Работа с документами"
305;"Autodesk Inventor"
306;"Обучение персонала"
307;"Оценка потребностей клиентов"
308;"Бюджетирование"
309;"HADI"
310;"Стратегический менеджмент"
311;"Организация совещаний"
312;"Управление бизнес процессами"
313;"Разработка регламентов"
314;"Планирование"
315;"Автоматизация процессов управления персоналом"
316;"Jetbrains Phpstorm"
317;"MDM"
318;"Управление продажами"
319;"Развитие продаж"
320;"Согласование договоров"
321;"Составление договоров"
322;"РЭА"
323;"Data Mining"
324;"Node.js"
325;"Big Data"
326;"CSS3"
327;"Navision"
328;"Электронный архив"
329;"1С: Управление предприятием"
330;"XML/Xslt"
331;"Управленческие навыки"
332;"Подготовка коммерческих предложений"
333;"1С: Комплексная автоматизация"
334;"SAP TOPO"
335;"ETL"
336;"Энергетика"
337;"АСУ"
338;"Математическое моделирование"
339;"R"
340;"KNX"
341;"Системы охранно-тревожной сигнализации"
342;"Работа с людьми"
343;"Тайм-менеджмент"
344;"Документооборот"
345;"AllFusion ERwin Data Modeler"
346;"Обучение"
347;"Креативность"
348;"Должностные инструкции"
349;"Adobe Photoshop"
350;"Sony Vegas"
351;"3D"
352;"слаботочные системы"
353;"SEO"
354;"Офисная техника"
355;"Ajax"
356;"Статистический анализ"
357;"Анализ бизнес показателей"
358;"TeamCity"
359;"Openshift"
360;"JDBC"
361;"Управленческая отчетность"
362;"Автоматизация процессов"
363;"Работа с возражениями"
364;"Redux"
365;"Тестирование пользовательского интерфейса"
366;"Flask Docker"
367;"SwaggerAPI"
368;"ORM"
369;"GraphQL"
370;"PI System"
371;"SAP ТОРО"
372;"SAP XI"
373;"SAP PI"
374;"SAP PO"
375;"SAP PO/PI"
376;"STM32"
377;"Миландр"
378;"Quartus"
379;"ПЛИС"
380;"Altium"
381;"Keil"
382;"Tableau"
383;"Qlik Sense"
384;"Платежи / Переводы"
385;"Платежные поручения"
386;"SWIFT"
387;"Дистанционное банковское обслуживание (ДБО)"
388;"Автоматизация процессов казначейства"
389;"SAP TRM"
390;"SAP FI-FM"
391;"Бюджетный контроль"
392;"Валютный контроль"
393;"Управление казначейством"
394;"Казначейство"
395;"Увереный пользователь ПК"
396;"Wialon"
397;"Cropio"
398;"ГИС"
399;"Работа в режиме многозадачности"
400;"Business English"
401;"SAP Project"
402;"Consultant Plus"
403;"Analytical skills"
404;"Резервное копирование и восстановление"
405;"Hyper-V"
406;"MS Windows"
407;"Фитнес"
408;"HMI"
409;"Yokogawa"
410;"CentOS"
411;"Redmine"
412;"Технология производства"
413;"Atlassian Confluence"
414;"Shell Scripting"
415;"Кадровое планирование"
416;"SAP QM"
417;"SAP PP/QM"
418;"Экономический анализ"
419;"My SAP ERP"
420;"DCS"
421;"CISCO CCNA"
422;"1С: Склад"
423;"Закупка товаров и услуг"
424;"Инновационный менеджмент"
425;"Start-up project"
426;"ADO.NET"
427;"Windows Forms"
428;"АСОДУ"
429;"Siemens Simatic PCS7"
430;"Wonderware System Platform ArchestrA"
431;"Сметы"
432;"Опыт написания тестов"
433;"Многопоточное программирование"
434;"Знание английского на уровне чтения документации"
435;"Паттерны проектирования"
436;"REST-full сервисы"
437;"Room"
438;"Dagger 2;"
439;"MVP"
440;"Google Maps Api"
441;"Firebase"
442;"RXJava"
443;"MVC"
444;"HTTP"
445;"Android SDK"
446;"Kafka"
447;"Terraform"
448;"Simulink"
449;"Enterprice Architect"
450;"RATIONAL DOORS"
451;"нси"
452;"IT"
453;"Выполнение технического надзора"
454;"Производственный контроль"
455;"MS Visual Basic"
456;"nanoCAD"
457;"MS Word"
458;"MOXA"
459;"WAGO"
460;"Citect"
461;"BMS"
462;"ETS"
463;"Пунктуальность"
464;"MS Internet Explorer"
465;"Обработка видео"
466;"NATS"
467;"Go"
468;"Приветствуется опыт работы с пакетами автоматизации проектирования NanoCad;"
469;"Опыт работы в проектировании, подбору оборудования, проведении изыскательных работ от 5-и лет;"
470;"TestTrack Pro"
471;"Bugzilla"
472;"Первичные документы"
473;"Управление отношениями с клиентами"
474;"доработка"
475;"Оптимизация кода"
476;"программирование"
477;"1С БГУ"
478;"разработчик 1С"
479;"написание кодов"
480;"техническая поддержка клиентов"
481;"консультант 1С"
482;"Спортивное питание"
483;"Цифровые проекты"
484;"знание КИС в сфере образования"
485;"новаторское мышление"
486;"SKADA"
487;"Simatic WinCC flexible"
488;"MS Exchange"
489;"DHCP"
490;"Умение принимать решения"
491;"Навыки составления отчетности"
492;"Windows Server 2003"
493;"Программная роботизация"
494;"Robin"
495;"UIPath"
496;"1С: Управление персоналом"
497;"Autodesk NavisWorks"
498;"ISO 9001:2008"
499;"WMS Manhattan"
500;"SSRS"
501;"Складской Учет"
502;"Сопровождение пользователей"
503;"Отчетность"
504;"WMS"
505;"Procurement"
506;"Транспортная логистика"
507;"Управление цепочкой поставок"
508;"Supply Chain Management"
509;"движение МТР"
510;"ЦППМ"
511;"ППМ"
512;"Автоматизации процессов закупки"
513;"SAP MM-PUR, MM-IV, MM-SRV"
514;"SAP SRM"
515;"Embarcadero Delphi"
516;"Object Pascal/Delphi"
517;"FireBird"
518;"Электрические сети"
519;"Entity Framework"
520;"SOLID"
521;".NET Core"
522;"TFS"
523;"Планирование карьеры"
524;"Microsoft Access"
525;"производство"
526;"Регрессионный анализ"
527;"apache Kafka"
528;"apache ignite"
529;"spring"
530;"микросервисы"
531;"Less"
532;"erWin"
533;"Design Patterns"
534;"SAP CRM"
535;"геометрия"
536;"численные методы"
537;"плазменное оборудование"
538;"вакуумное оборудование"
539;"PIMS"
540;"Johnson Controls"
541;"Тест-план"
542;"Методика описания тестирования"
543;"Программирование"
544;"Проектирование печатных плат"
545;"Тестирование ПО"
546;"Quality Assurance"
547;"создание пользовательского интерфейса ПО"
548;"Nastran"
549;"PATRAN"
550;"Simcenter"
551;"Femap"
552;"ANSYS"
553;"Elasticsearch"
554;"PHP7"
555;"Microsoft Visual Studio"
556;"Знание системы КОМПАС-3D приветсвуется"
557;"эдо"
558;"1c"
559;"роботизация процессов"
560;"цифроватизация процессов"
561;"Apache HTTP Server"
562;"POSIX API"
563;"GO"
564;"Google language"
565;"Инвестиционное планирование"
566;"Административное управление"
567;"Presentation skills"
568;"Business Development"
569;"Архитектор ИТ - проектов"
570;"Нефтеперерабатывающий"
571;"Нефтегазовый"
572;"Управление инвестиционной деятельностью"
573;"Выбор подрядных организаций"
574;"Экономическое моделирование"
575;"Управление инвестициями"
576;"Нефтегазодобыча"
577;"ReactJs"
578;"Управление качеством"
579;"Проведение тендеров"
580;"Архитектор"
581;"системный архитектор"
582;"TOGAF"
583;"SAP APO"
584;"работа с текущей базой клиентов"
585;"Холодные звонки"
586;"Проектирование структур данных"
587;"Проектирование модулей информационных систем"
588;"ASP.NET Core"
589;"1С: CRM ПРОФ"
590;"печатных плат"
591;"Трассировка"
592;"приборостроение"
593;"радиоэлектроника"
594;"ЕСТД"
595;"КД"
596;"olap кубы"
597;"Испытания СИ"
598;"Охрана труда и техника безопасности"
599;"навыки работы с контроллерами"
600;"сборка шкафов управления и НКУ"
601;"Опыт успешных продаж приветствуется"
