;Skills;Cluster
0;['бизнес-консультирование', 'управленческое консультирование', 'деловая коммуникация', 'бизнес-анализ', 'цифровизация', 'роботизация rpa', 'rpa', 'cad', 'bim', 'тестирование', 'zabbix', 'расчет kpi', 'big data', 'аналитические способности', 'прием и распределение телефонных звонков', 'деловое общение', 'консультирование клиентов по телефону', 'холодные звонки', 'python', 'idef', 'uml', 'atlassian jira', 'локальные сети', 'ответственность', 'тренинги', 'active directory', 'dhcp', 'проектно-конструкторская деятельность', 'компас-3d', 'сапр', 'заключение договоров', 'rest', 'soap', 'системная интеграция', 'bpmn', 'dwh', 'data lake', 'аналитическое мышление', 'mysql', 'oracle bi', 'аналитик', 'финансовая отчетность', 'сметы', 'договоры подряда', 'составление смет', 'php 7', 'javascript', 'yii2', 'laravel', 'php5', 'ооп', 'yii', '1c: бухгалтерия', '1c: зарплата и кадры', '3d', 'php', 'postgresql', 'oracle', 'составление договоров', 'договоры поставки', 'бюджетирование', 'грамотная речь', 'закупка оргтехники и оборудования', 'расстановка приоритетов', 'поиск и привлечение клиентов', 'ориентация на результат', 'use case analysis', 'xml', 'json api', 'oracle pl/sql', 'pl+', 'ibso', 'java', 'c++', 'oracle 11g', 'soc', 's-grc', 'irp', 'security intelligence', 'security vision', 'сзи', 'аудит безопасности', 'суиб', 'аудит', 'аудит испдн', 'иб', 'аналитика', 'siem', 'pascal', 'scad', 'quality assurance', 'тестирование по', 'методика описания тестирования', 'тест-план', 'кипиа', 'linux', 'bash', '1c: финансы', 'iso', 'matlab', 'mathcad', 'delphi', 'реинжиниринг бизнес-процессов', 'asterisk', 'сервер', 'интеграция с crm', 'установка asterisk', 'подключение операторов связи', 'грамотность', 'itsm', 'itil', 'компас', 'чтение чертежей', 'case-', 'agile', 'waterfall', 'automation', 'асутп', 'plc', 'scada', 'hmi', 'wincc', 'siemens', 'simatic', 'step7', 'tiaportal', 's7-1200', 's7-1500', 'logo!', 'schneider', 'ge', 'generalelectric', 'weintek', 'delta', 'пресейл-инженер', 'системный архитектор', 'инфраструктурное оборудование', 'схд', 'ленточные библиотеки', 'арм', 'виртуализация', 'фз-44', 'инфраструктурное по', 'git', 'redux', 'react', 'грамотная устная и письменная речь ', 'планировать деятельность подразделения', 'позитивную рабочую атмосферу дружный коллектив', 'хорошо развитые коммуникативные способности', 'готовность к командировкам', 'ответственность коммуникабельность инициативность нацеленность на результат наличие организаторских способностей', 'эскалация заявок соответствующим ответственным лицам', 'расчет премий kpi', 'составление коммерческих предложении', 'коммуникабельность', 'быстро обучаемость', 'методологии idef epc uml bpmn 20', 'блоки учета: строительство складская логистика транспортная логистика регламентированный и управленческий учет', 'моделирования и реинжиниринга бизнес-процессов', 'обязательно: word excel powerpoint и visio', 'внимательность к деталям', 'инициативность', 'самостоятельность', 'креативный подход в тестировании модификаций', 'тестировать модификации', 'культура корпоративной переписки', 'web/http – сервисы xdto ', 'конфигурирование оборудования узлов доступа к сети интернет', 'ликвидация простоев предоставления услуг', 'поддержание работоспособности оборудования узлов доступа к сети интернет филиала совокупность которых обеспечивает предоставление услуг доступа к сети интернет клиентам общества', 'администрировать и пользоваться средствами компьютерной и вычислительной техники коммуникации и связи', 'работать с программами microsoft word microsoft excelmicrosoft outlook microsoft visio internet электронный документооборот эвридок', 'выявление дополнительных факторов влияющих на точность прогноза и проверка гипотез', 'оптимизация производительности и безопасности сервисов систем и серверов', 'эцп сертификаты крипто-про и прочее', 'ведение базы данных заказчиков (обновление пополнение базы)', 'настойчивость активная жизненная позиция', 'тестирование собственных разработок', 'устранение ошибок функциональности ', 'edi/эдо электронные каталоги b2b внутренний документооборот', 'dynamics 365 и sharepoint', 'верификация существующих спецификаций/алгоритмов/маппингов', 'конфигурирование оборудования/сервера после обновления по ремонта замены контроллеров', 'взаимодействие с инженером по ремонтам', 'взаимодействие с диспетчерами', 'основы делопроизводства', 'наставничество по ряду направлений развития для программистов', 'высокая коммуникабельность и клиентоориентированность при взаимодействии с бизнес-заказчиком', 'коммуникации с разработчиками и подрядчиками', 'ответственность за результат', 'обучаемость', 'нормализация справочников: приведение наименования к унифицированному виду-шаблону исправление ошибок устранение неполных противоречивых устаревших позиций', 'готовность к частым командировкам в разные уголки рф', 'предпроектное обследование объектов', 'аналитический склад ума ', 'внимательность дисциплинированность ответственность исполнительность ', 'широкий кругозор в it – является преимуществом', 'ответственное отношение к выпускаемому продукту', 'премии не только по итогам года', 'тех кто сказал что все будет готово в пятницу и финишировал в четверг вечером', 'тех кто готов делиться своим опытом', 'красивый код', 'чувство юмора', 'содействовать младшему инженеру - проектировщику дизайнеру в приобретении необходимого опыта', 'должен знать:', 'экономико-математические методы', 'основы теории экономической кибернетики', 'средства вычислительной техники коммуникаций и связи', 'логическое мышление', 'конкретная специализация определяется по итогам испытательного срока', 'поддержка сапр компании (autocad magicad спдс и др)', 'запуск интернет-магазина', 'подбор периферийного оборудования', 'полный социальный пакет (оплачиваемый отпуск 28 календарных дней оплачиваемые больничные)', 'булева алгебра', 'руководство группой', 'изучение и реинжиниринг бизнес-процессов', 'описание и оптимизация бизнес-процессов', 'грамотное чтение чертежей ', 'чтение принципиальных электрических схем', 'подбор оборудования', 'умение связывать систему асу с системами верхнего уровня (передача данных через opc сервер)', 'установка/переустановка/настройка ос (windows 7810) клиентских приложений'];55
1;['банковские процессы', 'моделирование бизнес процессов', 'оптимизация бизнес процессов', 'навыки продаж', 'навыки презентации', 'пользователь пк', 'организаторские навыки', 'информационная безопасность', 'навыки делового общения', 'расчет и анализ контрольных показателей бизнес-процессов', 'умение работать в коллективе', 'умение работать с холодными звонками', 'умение вести переговоры и презентации', 'моделирования процессов', 'консультировать поддерживать и обучать пользователей', 'умение грамотно излагать свои мысли устно и письменно', 'презентационные навыки (навыки ясной и структурированной презентации информации публичных выступлений проведения обучения)', 'развитые навыки коммуникации и умение отстаивать свою позицию', 'описание и формализация бизнес-процессов (проведение интервью с бизнес - пользователями анализ и систематизация полученных сведений)', 'написание пользовательских тест-кейсов программы и методики испытаний информационных систем/модулей', 'написание регламентных документов (рабочие инструкции руководства пользователей инструкции)', 'анализ причин отказов асутп систем противопожарной защиты', 'коммуникативные навыки', 'обучение и консультации пользователей', 'подача инициатив по повышению эффективности производственных процессов ', 'опытный пользователь пк', 'консультации конечным пользователям и департаментам', 'высокие коммуникационные и презентационные навыки', 'логическое мышление коммуникабельность умение добиваться результата самостоятельность', 'ответственность умение грамотно и кратко излагать свои мысли в письменной и устной форме навыки коммуникаций стрессоустойчивость инициативность', 'общая грамотность умение структурированно излагать мысли как устно так и письменно', 'обработка запросов пользователей на добавление/изменение записей справочников: «номенклатура» «характеристики» «договоры» «контрагенты» и пр', 'проработка планов по дальнейшему развитию продукта для достижений целей заказчика upsale продажа техподдержки', 'описание и экономическое обоснование предлагаемых решений ', 'прототипирование интерфейсов пользователя ', 'отличные коммуникационные навыки ', 'навыки извлечения бизнес-требований', 'умение писать простые sql-запросы – является преимуществом', 'способность к быстрому восприятию большого массива информации и ее анализу', 'развитие компетенций по информационной безопасности', 'навык разбираться в чужом коде!!!', 'умение читать и редактировать электрические схемы', 'реинжиниринг бизнес процессов от «as is» к «to be»', 'навыки проведения анализа бп и по на всех уровнях', 'методы и средства измерения параметров технологического процесса', 'переходные функции и звенья систем автоматизированного управления', 'умение работать с js фрейморками и библиотеками (reactjs)', 'умение разбираться в чужом коде', 'взаимодействие и консультация разработчиков по процессам', 'умение осуществлять регулировку параметров технологического оборудования узлов и механизмов в процессе ', 'документирование требований к ис', 'поддержание требований к ис в актуальном состоянии', 'решение проблем возникающих у пользователей в области как софта так и &quotжелеза&quot (удаленно или на месте)', 'оборудование рабочих мест и настройка по для новых сотрудников'];13
2;['формирование бюджета', 'обучение и развитие', 'холодные продажи', 'проведение презентаций', 'активные продажи', 'b2b продажи', 'автоматизация технологических процессов', 'обучение персонала', 'настройка dns', 'сопровождение систем информационной безопасности', 'настройка пк', 'настройка по', 'настройка сетевых подключений', 'настройка серверов', 'настройка asterisk', 'настройка sip-телефонии', 'настройка voip-оборудования', 'настройка облачных атс', 'настройка ip-телефонов', 'базовое понимание основных языков разработки', 'минимум ошибок в период запуска программного продукта в опытную эксплуатацию', 'определение возможности использования готовых программных продуктов', 'формирования аналитических отчетов по запросам руководителя', 'тестирование модулей информационных систем и инструментов автоматизации', 'поиск и привлечение новых клиентов', 'проведение презентации и переговоров', 'поиск новых клиентов', 'обеспечение сопровождения и развития информационных систем', 'документирование/контроль документирования ис', 'проверка реализации/тестирование запросов на изменение в ис', 'аудит конфигураций ис', 'формирование тестовых сценариев и проведение тестирования функционала it-систем', 'базисное программное обеспечение oracle db rac asm oracle fusion middleware postgrespro', 'навыки ведения переговоров', 'навыки эффективной коммуникации с людьми и результативного ведения переговоров', 'консультации заинтересованных лиц со стороны бизнеса', 'задачи и содержание асуп', 'порядок постановки задач их алгоритмизации', 'отладка и настройка взаимодействия между 1с бухгалтерия (83) управление торговлей (11) розница и зуп', 'администрирование информационной базы', 'рассмотрение и согласование ркд на сложное оборудование с комплектным кипиа лса', 'настройка рлс', 'навыки оптимизации смк', 'навыки ведение переговоров и кроссфункциональных встреч', 'теоретические и практические навыки документирования и реинжиниринга бизнес-процессов', 'реализация задач по автоматизации и цифровизации предприятия в области программного обеспечения (по)', 'определение потребности в программном обеспечении для предприятия'];36
3;['ведение переговоров', 'исполнение личных поручений руководителя', 'проведение семинаров', 'автоматизация', 'оптимизация бизнес-процессов', 'планирование', 'автоматизация производства', 'переговоры с вендорами поставщиками услуг автоматизации', 'организация тестирования и проведение опытной эксплуатации реализованного роботизированного процесса', 'обучение за счет компании', 'понимание принципов современной разработки по (девопс микросервисная архитектура)', 'проведение первичной диагностики определение причины инцидентов', 'описание поддержание актуализация и контроль соблюдения существующих бизнес-процессов регламентов', 'аудит бизнес-процессов и регламентов компании', 'обслуживание клиентов компании', 'выполнение плана по продажам', 'участие в тестировании приемо-сдаточных испытаниях (нагрузочных регрессионных тестированиях)', 'бизнес-процессов инжиниринговых строительных компаний', 'устранение и участие в устранении нарушений в функционировании сервисов систем и серверов', 'выполнение требований законодательных и иных нормативных правовых актов рф контроль соблюдения лнд компании и общества в области асутп и кип', 'проектирование настройка тестирование изменений', 'организация согласования внутри банка документов по предпроекту с заинтересованными ссп ', 'анализ и проектирование бизнес-процессов', 'контроль качества разрабатываемого программного продукта', 'ведение нормативно-справочной информации', 'заключение договоров и приобретение программного и аппаратного обеспечения комплектующих и тп контроль исполнения договорных отношений с поставщиками ', 'взаимодействие со смежными подразделениями и внешними компаниями в рамках деятельности отдела ', 'исполнение поручений руководства ', 'участие в описание api и протоколов ', 'контроль и тестирование разработанного функционала ', 'умение выполнять схемы используя электротехнические спецификации стандартные чертежи инструкции по проектированию генпланы технологические схемы и информацию поставщиков', 'проведение предпроектных обследований (аудит иб аудит испдн аудит суиб)', 'поддержка существующей учетной системы на базе 1с 8 (утп 12 документооборот)', 'определение подходов к описанию архитектуры организации формирование видения взаимодействия подразделений на уровне l1', 'создание и наполнение сайта созданного для взаимодействия между минкомсвязи и региональными органами власти ответственными за цифровизацию', 'обучение пользователей и сопровождение внедряемых изменений со стороны процессной команды', 'выполнение задач производственно-технического направления', 'консультирование инженеров по качеству на этапе тестирования', 'проведение необходимых расчетов'];29
4;['управление затратами', 'управление персоналом', 'анализ бизнес показателей', 'системный анализ', 'анализ кода', 'управление холдингом 13', 'управление изменениями', 'оперативное управление департаментом', 'управление it-бюджетом', 'выявление требований к rpa решениям', 'решение инцидентов посредством удалённого администрирования', 'взаимодействие с бизнес пользователями функциональными заказчиками сбор требований на автоматизацию бизнес-процессов', 'формирование функциональных требований запросов на изменения постановка задачи разработчикам', 'управления требованиями', 'рациональный подход к решению задач', 'согласование запросов на изменение с заказчиком', 'способность к анализу поступающих требований', 'анализ промо-активностей очистка истории расчет профилей сезонности', 'анализ применимости различных математических моделей и методов прогнозирования', 'поиск и сопровождение заказчиков ведение полного цикла продаж: поиск заказчиков проведение переговоров и презентаций анализ и выявление потребностей консультирование по предоставляемым продуктам подготовка и заключение ткп заключение договоров отслеживание сроков оплаты', 'разбор и анализ инцидентов', 'настройка и тестирование программных решений', 'осуществлять выбор нужного решения под новые продукты (процесс продажи система и пр)', 'принимать решение по выбору ит решения и партнера для него для внедрения изменений', 'управление жизненным циклом нси', 'анализ рынка поиск новых заказчиков', 'сбор и согласование требований с заказчиком ', 'обследование текущих решений и формирование рекомендаций по ui/ux а также расширения функционала платформ ', 'владение методиками обследования заказчика сбора и анализа требований ', 'выявление заинтересованных лиц извлечение и анализ бизнес-требований', 'управление изменениями бизнес-требований', 'проведение анализа и внедрений средств защиты информации (преимущественно собственного решения)', 'требуется активность и горячее желание стать сильным ибшников с уклоном в управление иб: суиб soc s-grc irp security intelligence', 'принятие основных решений по разрабатываемым проектным документам согласование со смежными отделами', 'ведение процесса обработки с пульта управления сложных деталей по 7-10 квалитетам на станках с программным управлением ', 'выявление и анализ требований к ис', 'управление изменениями требований к ис'];27
5;['внедрение информационных систем', 'автоматизация процессов', 'создание пользовательского интерфейса по', 'подготовка отчетов', 'анализ трендов по цифровизации и их прикладное использование для бизнес-процессов компании', 'внедрение и сопровождение всех программных продуктов', 'подготовка и проведение презентаций', 'формирование требований к автоматизации бизнес-процессов строительных компаний', 'деловые коммуникации с функциональными заказчиками и ит подрядчиками', 'контроль выполнения/выполнение запросов заказчика по вопросам использования ис', 'анализ и реинжиниринг действующих бизнес-процессов в компании', 'личные качества: коммуникативные способности системное мышление умение налаживать и поддерживать конструктивные отношения публичность', 'ведение переговоров консультирование заказчиков', 'аудит инфраструктуры заказчиков', 'исследование бизнес-процессов и требований к автоматизации', 'инициировать изменения в случае выявления возможности оптимизации и автоматизации', 'внедрение программного продукта', 'обучение и сопровождение пользователей', 'участие в совещаниях и встречах с партнерами и клиентами подготовка аналитических документов', 'обработка и выполнение обращений пользователей по вопросам связанным с использованием нси', 'консультирование заказчика по возможностям платформ ', 'согласование артефактов с заинтересованными лицами', 'автоматизация функционального тестирования в спринте и поддержка регрессионных пакетов', 'рассматривать и давать комментарии к проектным чертежам других отделов и чертежам оборудования поставщика', 'проведение презентаций и участие в различной маркетинговой деятельности по продвижению системного оборудования', 'написание регламентов и пользовательских инструкций', 'наладка запуск и сопровождение разрабатываемого программного обеспечения', 'рассмотрение и согласование ркд на кипиа', 'взаимодействие с заказчиками менеджерами по оптимизации', 'навыки планирования постановки задач и контроля', 'контроль процесса обеспечения и оплат', 'проведение экспертизы документов используемых в рамках планирования и реализации мероприятий по созданию развитию модернизации и эксплуатации информационных систем и компонентов информационно-телекоммуникационной инфраструктуры', 'взаимодействие с сотрудниками бизнес-подразделений по возможностям автоматизации и оптимизации процессов', 'взаимодействие с другими подразделениями предприятия в рамках выполнения задач отдела'];84
6;['анализ данных', 'администрирование серверов', 'администрирование сетевого оборудования', 'администрирование серверов windows', '1с: управление холдингом', '1с: управление предприятием', 'архитектура типовых решений 1с', '1с: зарплата и управление персоналом', 'администрирование серверов linux', 'настройка unix систем', 'администрирование сайтов', 'умение структурирования и систематизации больших объемов информации ', 'телефонные переговоры', 'исследования и анализа данных', 'управление доступом к данным', 'начальный уровень администрирования mssql', 'владение пк и пакетов основных офисных программ на уровне продвинутого пользователя', 'обеспечение стабильности функционирования парка пк серверов оргтехники специализированного оборудования и телефонии', 'настройка proxy подключение сетевого диска и тп', 'администрирование облачной платформы', 'поддержка пользователей 1супп 1с:бухгалтерия', 'навыки описания бизнес-процессов и вариантов использования', 'умение четко и структурированно излагать информацию – как устно так и письменно', 'отслеживание обеспечения ценности бизнеса с помощью надежных инженерных методов и принципов', 'уверенное владение pc ', 'определение целей и требований к бп (wfm value chain) на уровнях l3-', 'владение адаптивной и кроссбраузерной версткой', 'уверенное владение git'];66
7;['erp', 'разработка на языке 1с', 'sap erp', 'асу тп', 'autocad', '1с: комплексная автоматизация', 'cистемы управления базами данных', '1c erp', 'erp systems', 'erp 2', 'продвижение систем асу тп компании yokogawa (плк / кип)', 'архитектура современных erp систем', 'подбор и настройка оборудования передачи данных сети ethernet ', 'оптимизация структуры данных', 'способность быстро ориентироваться в потоке информации', 'умение анализировать большой объем данных и делать выводы', 'внедрение конфигурации 1с:erp на предприятиях группы компаний', 'взаимодействие с внешними подрядчиками по автоматизации бизнес-процессов на базе платформы 1с', 'проверять справочники на соответствие регламентирующим документам', 'корректировать справочники в соответствие регламентирующим документам', 'понимание жизненного цикла по ', 'обеспечение высокого уровня покрытия для функционального и регрессивного тестирования', 'сопровождение 1с', 'сбор и анализ исходных данных для проектирования', 'владение пк: autocad microsoft office eplan по для проектирования в 3d модели по для расчета сужающих устройств и регулирующих клапанов', 'хорошее понимание spa на основе react/redux'];9
8;['проектное управление', 'проектирование новых информационных систем: модель данных функциональная модель техническое задание', 'реализация уникальных проектных решений под задачи заказчика', 'специальность: автоматизация и управление информационные системы вычислительная техника и программное обеспечение математическое и компьютерное моделирование', 'разработка эксплуатационной документации в области асу тп', 'управление проектным бюджетом', 'готовить документацию по процессам', 'контролировать разработку и внедрение новой техники и технологии строительного производства', 'умение работать со сметно-проектной документацией', 'изменение алгоритмов программы и разработка новых отчетов тестирование новых разработок', 'создание документации и планов (договора акты календарные планы планов управления и развития)', 'анализ доходных/расходных договоров и формирование обязательств для загрузки в систему управления проектами', 'разработка положений регламентов методических рекомендаций инструкций в области управления нси', 'демонстрация продукта (совместно с техническим специалистом) подготовка плана апробации продукта заказчиком сопровождение апробации продукта заказчиком', 'участие в мозговых штурмах по формированию гипотез для разработки/доработки решений', 'подготовка и участие в презентациях поддержка в процессе защиты рекомендаций ', 'участие в приемке и опытно-промышленной эксплуатации реализованных решений', 'участие в совещаниях с представителями заказчика эксплуатации согласование проектных решений ведение переписки с заказчиком и поставщиками оборудования', 'разрабатывает технологические схемы обработки информации по установленным задачам асуп с учетом организационного и технического обеспечения по всем подсистемам', 'анализ проектных решений с точки зрения их экономичности и стоимости на всех стадиях создания', 'умение составлять и обеспечивать согласование процессной документации (схемы и описание бизнес-процессов операционные инструкции регламенты взаимодействия и пр)', 'рассмотрение проектной документации и проектных решений', 'участие в опытно-промышленной эксплуатации реализованных решений'];1
9;['разработка и реализация it-стратегии компании', 'управление вверенными проектами автоматизации бизнес-процессов компании', 'постановка и контроль выполнения задач участниками проекта', 'поиск программных средств автоматизации бизнес-процесса проекта', 'организация разработки информационных систем участие в первичном тестировании', 'оперативное и стратегическое планирование реализации проекта создания по', 'контроль выполнения задач внешними и внутренними участниками проекта', 'участие в других hr-проектах (замер вовлеченности система оценки материальная и нематериальная мотивация нормирование труда hr-бюджет hr-метрики статистика и проч)', 'разработка нестандартных приложений для интеграции систем автоматизации', 'обеспечивать своевременную реализацию обучения сотрудников корпоративных продаж согласованным срокам централизованных и локальных проектов', 'распределение задач контроль их исполнения инженерными ресурсами выделенных в рамках проекта', 'участие в активностях по разработке физической модели и реализации витрин данных', 'ведение проекта на всех стадиях:', 'постановка и контроль выполнения запросов на изменения (доработка проектов)', 'ведение отчетности по проектам', 'формирование и контроль планов исполнения обязательств проекта', 'мониторинг и прогноз хода исполнения договорных обязательств по проекту', 'краткое портфолио выполненных проектов', 'консультации команды разработки в процессе проектирования и создания программных решений', 'выполнение проектирования и согласования рабочей документации по системам автоматизации', 'отвечают за полный цикл оптимизации проекта/выполнения проекта', 'навыки оценки эффекта от реализации проекта', 'понимание компонентного подхода в разработке веб-интерфейсов'];11
