;Required skill
0;управление проектами
1;деловая переписка
2;деловая коммуникация
3;бизнес-анализ
4;системная интеграция
5;mysql
6;проектный менеджмент
7;оптимизация бизнес-процессов
8;ios
9;бизнес-анализ
10;постановка задач разработчикам
11;разработка инструкций
12;android
13;ms visio
14;бизнес-анализ
15;aris
16;sql
17;системный анализ
18;agile project management
19;scrum
20;kanban
21;isales
22;разработка по
23;ms outlook
24;ms powerpoint
25;деловая переписка
26;1с: предприятие 8
27;internet
28;работа с большим объемом информации
29;поиск информации в интернет
30;навыки составления отчетности
31;анализ данных
32;qa
33;проведение тестирований
34;api
35;работа в команде
36;управление временем
37;atlassian jira
38;agile project management
39;управление проектами
40;управление персоналом
41;1с программирование
42;управление проектами
43;бухгалтерский учет
44;1c: бухгалтерия
45;работа в команде
46;бизнес-анализ
47;системный анализ
48;1с: бухгалтерия
49;r-keeper
50;коммуникабельность
51;инициативность
52;ответственность
53;управление проектами
54;ms project
55;обучение и развитие
56;ms project expert
57;письменный перевод
58;английский язык
59;немецкий язык
60;организация мероприятий
61;перевод
62;dwh
63;кхд
64;architecture
65;архитектура
66;edw
67;ods
68;sas
69;etl
70;dds
71;1с программирование
72;1с: управление торговлей
73;обновление конфигурации 1с
74;crm
75;грамотная речь
76;ориентация на результат
77;телефонные продажи
78;деловая переписка
79;b2b продажи
80;деловое общение
81;активные продажи
82;sql
83;ms sql
84;1с: предприятие 8
85;1с: управление торговлей
86;1с программирование
87;digital marketing
88;e-mail marketing
89;seo
90;анализ посещаемости сайтов
91;продвижение сайтов
92;b2c продажи
93;b2c маркетинг
94;internet marketing
95;интернет маркетинг
96;контекстная реклама
97;аналитическое мышление
98;анализ продаж
99;интернет-реклама
100;креативность
101;лидогенерация
102;функциональное тестирование
103;ms visio
104;управление бизнес процессами
105;управление проектами
106;ведение переговоров
107;руководство коллективом
108;бизнес-планирование
109;организаторские навыки
110;управление затратами
111;управление командой
112;управление продуктом
113;ms dynamics crm
114;crm
115;sql
116;тестирование
117;тестирование пользовательского интерфейса
118;проектирование баз данных
119;работа с базами данных
120;cистемы управления базами данных
121;управление интернет-проектами
122;тайм-менеджмент
123;проведение опросов
124;расстановка приоритетов
125;мобильность
126;составление смет
127;разработка технических заданий
128;деловая переписка
129;html
130;управление бизнес процессами
131;digital marketing
132;crm
133;маркетинговый анализ
134;cms wordpress
135;adobe photoshop
136;ms powerpoint
137;ms outlook
138;html
139;css
140;adobe illustrator
141;adobe indesign
142;пользователь пк
143;работа в команде
144;воронка продаж
145;mailchimp
146;лидогенерация
147;проведение рекламных кампаний
148;joomla cms
149;создание сайтов
150;web-дизайн
151;bitrix
152;seo
153;bitrix24
154;битрикс24
155;asterisk
156;crm
157;1с-битрикс
158;css
159;javascript
160;xml
161;php
162;sql
163;crm
164;b2b продажи
165;b2g продажи
166;ведение переговоров
167;управление продажами
168;развитие продаж
169;активные продажи
170;поиск и привлечение клиентов
171;организаторские навыки
172;заключение договоров
173;планирование продаж
174;проведение презентаций
175;навыки продаж
176;деловая переписка
177;холодные звонки
178;ответственность
179;коммуникабельность
180;активные продажи
181;ведение переговоров
182;телефонные переговоры
183;работа в команде
184;пользователь пк
185;грамотная речь
186;настройка пк
187;сборка пк
188;ремонт пк
189;erp systems
190;project management
191;оптимизация бизнес-процессов
192;бизнес-анализ
193;моделирование бизнес процессов
194;бизнес-планирование
195;управление проектами
196;crm
197;1с: предприятие
198;ms project
199;crm
200;pmbok
201;ms project
202;microsoft dynamics crm
203;управление проектами
204;ms crm
205;dynamics 365
206;ms dynamics 365
207;agile
208;ms sure step
209;crm
210;работа в команде
211;обучение и развитие
212;сопровождение клиентов
213;ориентация на результат
214;amocrm
215;обучение персонала
216;управление проектами
217;ведение переговоров
218;грамотная речь
219;консультирование
220;проведение презентаций
221;b2b продажи
222;customer support
223;crm
224;sql
225;пользователь пк
226;поиск информации в интернет
227;умение работать в команде
228;исполнение личных поручений руководителя
229;деловое общение
230;электронная почта
231;исполнение поручений руководителя
232;деловая переписка
233;многозадачность
234;test case
235;функциональное тестирование
236;crm
237;ведение переговоров
238;ms sql
239;mysql
240;sql
241;postgresql
242;oracle
243;интеграционное тестирование
244;регрессионное тестирование
245;sql
246;oracle
247;тест-трекеры
248;atlassian jira
249;стратегический маркетинг
250;управление командой
251;планирование маркетинговых кампаний
252;управление бюджетом
253;b2b продажи
254;активные продажи
255;crm
256;телефонные переговоры
257;ведение переговоров
258;adobe photoshop
259;ms powerpoint
260;контроль качества
261;mysql
262;организаторские навыки
263;работа в команде
264;грамотная речь
265;подготовка презентаций
266;организация презентаций
267;1с программирование
268;консультирование
269;1с: документооборот
270;обновление конфигурации 1с
271;ведение переговоров
272;активные продажи
273;деловое общение
274;навыки продаж
275;работа в команде
276;деловая переписка
277;развитие продаж
278;управление продажами
279;грамотная речь
280;b2b продажи
281;прямые продажи
282;crm
283;телефонные переговоры
284;заключение договоров
285;навыки презентации
286;деловая коммуникация
287;ms office
288;английский язык
289;бизнес-анализ
290;системный анализ
291;информационные технологии
292;внедрение информационных систем
293;sap mm
294;английский язык
295;проведение презентаций
296;sap project
297;подготовка презентаций
298;b2b продажи
299;телемаркетинг
300;деловая переписка
301;телефонные продажи
302;телефонные переговоры
303;исходящие звонки
304;presentation skills
305;product management
306;marketing analysis
307;sales management
308;crm
309;английский язык
310;product marketing
311;customer service
312;business english
313;google analytics
314;digital marketing
315;crm
316;маркетинговый анализ
317;cms wordpress
318;adobe photoshop
319;ms powerpoint
320;ms outlook
321;html
322;css
323;adobe illustrator
324;adobe indesign
325;пользователь пк
326;работа в команде
327;воронка продаж
328;mailchimp
329;лидогенерация
330;проведение рекламных кампаний
331;joomla cms
332;создание сайтов
333;web-дизайн
334;bitrix
335;seo
336;1с программирование
337;1с: управление производственным предприятием
338;1с-битрикс
339;xml
340;ооп
341;c#
342;ms sql server
343;javascript
344;jquery
345;oracle
346;oracle pl/sql
347;pl+
348;ibso
349;project management
350;product management
351;crm
352;communication skills
353;retail
354;1с: управление торговлей
355;управление персоналом
356;английский язык
357;руководство коллективом
358;работа в команде
359;английский язык
360;аналитические исследования
