;Required skill
0;управление проектами
1;деловая переписка
2;деловая коммуникация
3;бизнес-анализ
4;системная интеграция
5;настройка пк
6;сборка пк
7;ремонт пк
8;qa
9;проведение тестирований
10;api
11;ms outlook
12;ms powerpoint
13;деловая переписка
14;1с: предприятие 8
15;internet
16;работа с большим объемом информации
17;поиск информации в интернет
18;навыки составления отчетности
19;анализ данных
20;работа в команде
21;управление временем
22;atlassian jira
23;agile project management
24;управление проектами
25;управление персоналом
26;бизнес-анализ
27;системный анализ
28;письменный перевод
29;английский язык
30;немецкий язык
31;организация мероприятий
32;перевод
33;dwh
34;кхд
35;architecture
36;архитектура
37;edw
38;ods
39;sas
40;etl
41;dds
42;bitrix24
43;битрикс24
44;asterisk
45;crm
46;1с-битрикс
47;css
48;javascript
49;xml
50;php
51;sql
52;настройка по
53;crm
54;консультирование клиентов по телефону
55;обучение персонала
56;коммуникабельность
57;стрессоустойчивость
58;управление проектами
59;управление интернет-проектами
60;crm
61;работа в команде
62;обучение и развитие
63;сопровождение клиентов
64;ориентация на результат
65;amocrm
66;обучение персонала
67;управление проектами
68;ведение переговоров
69;грамотная речь
70;консультирование
71;проведение презентаций
72;управление проектами
73;ms project
74;обучение и развитие
75;ms project expert
76;оптимизация бизнес-процессов
77;ios
78;бизнес-анализ
79;постановка задач разработчикам
80;разработка инструкций
81;android
82;crm
83;грамотная речь
84;ориентация на результат
85;телефонные продажи
86;деловая переписка
87;b2b продажи
88;деловое общение
89;активные продажи
90;digital marketing
91;e-mail marketing
92;seo
93;анализ посещаемости сайтов
94;продвижение сайтов
95;b2c продажи
96;b2c маркетинг
97;internet marketing
98;интернет маркетинг
99;контекстная реклама
100;аналитическое мышление
101;анализ продаж
102;интернет-реклама
103;креативность
104;лидогенерация
105;crm
106;b2b продажи
107;b2g продажи
108;ведение переговоров
109;управление продажами
110;развитие продаж
111;активные продажи
112;поиск и привлечение клиентов
113;организаторские навыки
114;заключение договоров
115;планирование продаж
116;проведение презентаций
117;навыки продаж
118;деловая переписка
119;холодные звонки
120;b2b продажи
121;активные продажи
122;crm
123;телефонные переговоры
124;ведение переговоров
125;b2b продажи
126;телемаркетинг
127;деловая переписка
128;телефонные продажи
129;телефонные переговоры
130;исходящие звонки
131;пользователь пк
132;поиск информации в интернет
133;умение работать в команде
134;исполнение личных поручений руководителя
135;деловое общение
136;электронная почта
137;исполнение поручений руководителя
138;деловая переписка
139;многозадачность
140;1с: бухгалтерия
141;r-keeper
142;коммуникабельность
143;инициативность
144;ответственность
145;mysql
146;проектный менеджмент
147;crm
148;1с: торговля
149;1с: документооборот
150;управление проектами
151;организаторские навыки
152;обновление конфигурации 1с
153;1с: бухгалтерия
154;1c: бухгалтерия
155;1с: предприятие 8
156;1с программирование
157;1с: управление торговлей
158;linux
159;tcp/ip
160;техническая поддержка
161;ответственность
162;коммуникабельность
163;деловая этика
164;бизнес-анализ
165;системный анализ
166;информационные технологии
167;внедрение информационных систем
168;1с программирование
169;управление проектами
170;1с: комплексная автоматизация
171;uml
172;bpmn
173;idef
174;стратегический маркетинг
175;управление командой
176;планирование маркетинговых кампаний
177;управление бюджетом
178;1с программирование
179;консультирование
180;1с: документооборот
181;обновление конфигурации 1с
182;ответственность
183;коммуникабельность
184;активные продажи
185;ведение переговоров
186;телефонные переговоры
187;работа в команде
188;пользователь пк
189;грамотная речь
190;организаторские навыки
191;работа в команде
192;грамотная речь
193;подготовка презентаций
194;организация презентаций
195;java
196;hibernate orm
197;spring framework
198;presentation skills
199;product management
200;marketing analysis
201;sales management
202;crm
203;английский язык
204;product marketing
205;customer service
206;business english
207;google analytics
208;информационная безопасность
209;работа в команде
210;грамотность
211;internet
212;информационные технологии
213;управление интернет-проектами
214;тайм-менеджмент
215;проведение опросов
216;расстановка приоритетов
217;мобильность
218;составление смет
219;разработка технических заданий
220;деловая переписка
221;html
222;управление бизнес процессами
223;1с: предприятие 8
224;1с: производство
225;1с: документооборот
226;охрана труда и техника безопасности
227;работа с документами
228;работа с базами данных
229;cистемы управления базами данных
230;1с программирование
231;управление проектами
232;бухгалтерский учет
233;1c: бухгалтерия
234;работа в команде
235;php
236;1с-битрикс
237;управление проектами
238;ms sharepoint
239;sap erp
240;ms sql
241;erp
242;ms office
243;английский язык
244;активные продажи
245;заключение договоров
246;телефонные переговоры
247;навыки продаж
248;консультативные продажи
249;умение работать в команде
250;консультирование клиентов по телефону
251;ведение переговоров
252;поиск и привлечение клиентов
253;b2b продажи
254;развитие продаж
255;работа в команде
256;helpdesk
257;системный анализ
258;пользователь пк
259;sql
260;банковское по
261;языки программирования
262;test case
263;функциональное тестирование
264;crm
265;ms dynamics crm
266;crm
267;sql
268;тестирование
269;тестирование пользовательского интерфейса
270;проектирование баз данных
271;1с программирование
272;1с: управление производственным предприятием
273;1с-битрикс
274;xml
275;ооп
276;cистемы управления базами данных
277;atlassian jira
278;английский язык
279;sap
280;helpdesk
281;проектирование пользовательских интерфейсов
282;разработка технических заданий
283;мозг
284;логика
285;ms project
286;проектная документация
287;1с: документооборот
288;деловая этика
289;управление проектами
290;erp systems
291;erp-системы на базе 1с
292;erp
293;b2b продажи
294;управление проектами
295;1с-битрикс
296;crm
297;ms dynamics crm
298;бизнес-консультирование
299;управление отношениями с клиентами
300;1с: предприятие 8
301;1c: бухгалтерия
302;1с программирование
303;1с: документооборот
304;обучение и развитие
305;digital marketing
306;crm
307;маркетинговый анализ
308;cms wordpress
309;adobe photoshop
310;ms powerpoint
311;ms outlook
312;html
313;css
314;adobe illustrator
315;adobe indesign
316;пользователь пк
317;работа в команде
318;воронка продаж
319;mailchimp
320;лидогенерация
321;проведение рекламных кампаний
322;joomla cms
323;создание сайтов
324;web-дизайн
325;bitrix
326;seo
327;crm
328;pmbok
329;ms project
330;microsoft dynamics crm
331;управление проектами
332;ms crm
333;dynamics 365
334;ms dynamics 365
335;agile
336;ms sure step
337;функциональное тестирование
338;ms visio
339;crm
340;программы лояльности
341;sql
342;b2b маркетинг
343;маркетинговые коммуникации
344;маркетинговые исследования
345;продвижение бренда
346;планирование маркетинговых кампаний
347;контекстная реклама
348;pr
