;Required skill
0;отрисовка интерфейса b2b-системы: desktop mobile
1;проработка локальных user stories
2;участие в проектировании глобального ux
3;отрисовка элементов интерфейса (иконки контролы и тд)
4;наличие портфолио обязательно
5;опыт работы по профилю от 2-х лет
6;вся работа в figma
7;начальный уровень adobe illustrator
8;прием обращений от пользователей
9;регистрация и мониторинг инцидентов и жалоб
10;первичная оценка поступающих обращений начальная поддержка пользователей
11;взаимодействие с другими подразделениями для решения проблем или передачи инцидентов
12;поддержка информационных систем банка в соответствии с действующими бизнес-процессами банка требованиями законодательства рк и требованиями других уполномоченных органов
13;консультации сотрудников банка по оформлению заявок на регистрацию и предоставление доступа
14;обеспечение регистрации перерегистрации и изменений действующих прав пользователей в информационных системах банка согласно утвержденным внутренним нормативным документам банка
15;знание пк сборка и разборка
16;замена термоленты
17;обслуживание терминалов
18;выезд по области по для решения возникших ошибок
19;замена комплектующих
20;ремонт пк
21;инкассация
22;высшее (средне-специальное) техническое образование
23;ответственность
24;трудолюбие
25;внимательность
26;умение работать в режиме многозадачности
27;высшее техническое образование
28;опыт работы программистом 1с от 3-х лет
29;опыт внедрения систем 1с автоматизации внутренней деятельности и бизнес-процессов компании
30;уверенные знания платформы и средств разработки 1с:предприятие 83
31;отличные знания языка запросов и скд
32;опыт разработки управляемого приложения (управляемые формы)
33;опыт разработки механизмов интеграции 1с с другими системами (xml com web-сервисы конвертация)
34;уверенные знания предметных областей: rls управляемые блокировки
35;опыт и навыки в качестве дополнительных преимуществ: наличие сертификатов 1с
36;аналитический склад ума
37;умение работать с большими объемами данных и большими таблицами
38;общее понимание устройства пк комплектующих мультимедийного и серверного оборудования
39;уверенный пользователь сети интернет
40;знание excel на уровне уверенного пользователя - сводные таблицы и формулы (логические текстовые ссылки и массивы)
41;опыт работы в качестве менеджера проектов от 2 лет
42;уровень английского не ниже intermediate
43;опыт работы с командой по одной из гибких методологий
44;опыт работы с таск-трекерами
45;прекрасное владение русским языком и умение чётко излагать свои мысли в письменном виде
46;поддержка руководства при подготовке и проведению маркетинговых мероприятий (семинаров выставок работа с отраслевой прессой рассылка электронных сообщений)
47;координация маркетинговых мероприятий с центральным офисом в германии 
48;поддержка и организация телефонных звонков
49;поддержка при переводе маркетинговых материалов внутренних документов текстов на сайте
50;поддержка в переводе при проведении международных семинаров
51;поддержка при составлении и переводе проектных документов
52;отличные знания немецкого и/или английского языков обязательны (свободное владение)! 
53;опыт работы в сфере маркетинга продаж
54;опыт работы в пищевой отрасли приветствуется
55;интерес и готовность к перспективе работать в продажах (ит-проекты в пищевой отрасли)
56;готовность к нечастым и недлительным командировкам как по россии так и за рубежом
57;общительность открытость пунктуальность трудоспособность
58;анализ бизнес-требований подготовка архитектурных спецификаций на доработки dwh
59;развитие системной архитектуры dwh
60;проработка создание и развитие ods (operational data store cdc на oracle goldengate)
61;курирование координация работ в роли архитектора команды разработчиков (внутренней и подрядчиков) при доработках dwh
62;анализ и реализация задач по оптимизации архитектуры dwh и etl-процессов
63;взаимодействие со смежными подразделениями банка по архитектурным вопросам участие в архитектурном совете
64;наставничество над внутренней командой развития dwh
65;сайзинг инфраструктуры dwh
66;проектирование системы управления метаданными хранилища
67;проектирование системы управления и мониторинга интеграционных процессов dwh
68;создание стандартов разработки etl
69;написание документации к разработанным решениям
70;участие в разработке целостной корпоративной информационной архитектуры (хранилищ данных (dwh ods) аналитических систем bi bigdata)
71;участие в проектах внедрения корпоративных хранилищ данных в роли архитектора от 3 лет
72;глубокие знания архитектур хранилищ данных
73;опыт проектирования и развития системной архитектуры хранилищ данных
74;знания типовой инфраструктуры под dwh
75;опыт проектирования моделей данных (логическая физическая концептуальная)
76;опыт внедрения решения sas bis dds оценивается как преимущество
77;знание основ бухгалтерского и управленческого учета и ключевых банковских бизнес процессов
78;развитые коммуникативные навыки опыт курирования работ подрядчиков в проектах по развитию dwh
79;опыт подготовки и проведения презентаций для руководства заказчиков пользователей
80;участие в проектах по внедрению big data решений в роли архитектора оценивается как преимущество
81;vendor management: навыки работы с внешними компаниями управления всем производственным циклом
82;знание принципов agile/scrum и devops
83;высокая работоспособность ответственность готовность работать в режиме многозадачности
84;клиентоориентировнность и проактивный подход
85;разработка и реализация концепции управления жизненным циклом клиента
86;разработка и реализация стратегии развития клиентской базы
87;планирование и реализация целевых маркетинговых акций
88;разработка и реализация стратегии развития целевых каналов коммуникаций
89;разработка и реализация стратегии сбора контактных данных клиентов
90;разработка и реализации коммуникационной политики контактной политики
91;высшее образование (маркетинг менеджмент)
92;аналогичный опыт работы от 3 -х лет
93;знания и опыт практического применения методов сегментирования и целевого развития клиентской базы бюджетирования и контроля расходования маркетингового бюджета
94;экспертные знания построения «с нуля» процессов целевого маркетинга
95;опыт реализации масштабных многоуровневых емейл-кампаний (каскадные коммуникации «догоняющие» и тд)
96;системность структурированность грамотность
97;минимум ошибок в период запуска программного продукта в опытную эксплуатацию
98;управление вверенными проектами автоматизации бизнес-процессов компании
99;составление и согласование проектной документации (анкета проекта тз кпг) участие в защите проекта
100;постановка и контроль выполнения задач участниками проекта
101;поиск программных средств автоматизации бизнес-процесса проекта
102;переговоры с вендорами поставщиками услуг автоматизации
103;проектирование новых информационных систем: модель данных функциональная модель техническое задание
104;организация разработки информационных систем участие в первичном тестировании
105;офис-мансарду в уникальном здании в историческом центре санкт-петербурга в бизнес-центре класса &quotа&quot
106;зоны отдыха с диванами и кофе-корнером
107;пешую доступность от метро адмиралтейская (центр города музей под открытым небом)
108;оплату половины стоимости паркинга &quotу красного моста&quot(если есть необходимость)
109;возможность обучения английскому и немецкому языкам в офисе (внутренние курсы обучения) 
110;интересную и активную корпоративную жизнь (спортивные и интеллектуальные мероприятия праздники многие из которых уже стали традиционными)
111;перспективу переезда в европу (есть свои представительства)
112;поддержку команды на всех этапах работы
113;комфортная и дружелюбная атмосфера в офисе
114;уровень дохода высокий (готовы обсуждать нам важно найти коллегу для длительного сотрудничества)
115;инициация проекта
116;планирование
117;контроль выполнения работ согласно плана (настройка системы)
118;организация работы подрядчика
119;формирование статусов
120;аналитика по работе в системе
121;опыт внедрения crm (любая платформа) и интеграции с телефонией
122;знание процессов продаж
123;крайне желателен опыт работы с 1с8
124;консультационная поддержка пользователей типовых программных продуктов и отраслевых решений на базе платформы 1с:предприятие 83 (в основном: ут 103/11 ка унф crm от раруса) 
125;установка обновление и настройка типового функционала 
126;обучение пользователей 
127;анализ и исправление ошибок пользователей 
128;изучение учебно-методической литературы от фирмы 1с 
129;тестирование 
130;разработка инструкций 
131;анализ задач составление и согласование тз с заказчиком 
132;внедрение crm систем настройка интеграции crm c внешними ресурсами согласно технического задания и договора:  настройка программного обеспечения согласно специфики бизнеса клиента интеграция crm с другими внешними сервисами и ресурсами (сайт соцсети почта телефония и пр)
133;постановка задач соисполнителям и контроль исполнения в рамках проектной команды (программисты телефонисты 1с-ники и тд)
134;проведение обучения работе в crm пользователей клиента
135;корректное и своевременное исполнение работ по проекту соблюдение качества исполнения соблюдение сроков проекта
136;согласование с клиентом результатов работ на каждом этапе проекта сдача проекта
137;поиск анализ и решение инцидентов возникающих в процессе работы информационных систем в процессе внедрения проекта  самостоятельный поиск и устранение сбоев в программе привлечение технических специалистов отработка инцидентов с технической поддержкой вендора
138;проведение презентаций
139;ведение закупочных и договорных процедур по проекту
140;управление проектом по разработке crm: подготовка и согласование документации
141;управление рисками проекта
142;контроль бюджета и ресурсного плана
143;наличие высшего образования
144;опыт управления проектами по разработке по от 2 лет
145;знание нормативной базы по закупкам
146;знание риск-менеджмента
147;владение excel и ms project
148;разработка алгоритмов управления автоматической коробкой передач и их реализация в среде matlab/simulink
149;разработка сценариев тестирования компонентов по осуществление первичной отладки
150;математическое моделирование элементов коробки передач и систем автомобиля в среде matlab/simulink
151;решение прикладных исследовательских задач в области управления автоматическими коробками передач
152;написание документации и технических отчетов
153;знание matlab/simulink версии r2015b или выше
154;высшее техническое образование
155;понимание основ устройства и принципов работы современных автомобилей и их электронных систем
156;опыт программирования
157;владение английским языком не ниже уровня pre-intermediate для чтения технической литературы и общения с зарубежными коллегами по переписке
158;сбор статистических данных
159;создание отчетов на основании полученных данных
160;получение и обработка отчетов из 1с
161;контроль отклонений от плановых показателей
162;высшее образование
163;желание развиваться в данном направлении
164;пк уверенный пользователь
165;1c word exсel (формулы форматирование сводные таблицы впр)
166;высшее образование по специальности связанной с разработкой программного обеспечения
167;опыт разработки web приложений (javascript node js/ php/ python postgresql mysql html/css)
168;мы ищем людей открытых для новых знаний и интересных задач и проектов готовых к обучению и развитию в области программирования
169;опыт работы в интернет-маркетинге от 3-ех лет
170;умение генерировать продающие предложения
171;наличие опыта в e-mail маркетинге (построение sale-цепочек информирование цепочки по построению лояльности системные письма) и smm
172;опыт работы с большими бюджетами
173;склонность к постоянному обучению развитию профессиональных навыков и самосовершенствованию
174;способность к работе в команде самостоятельной работе нацеленность на результат и ответственности за результат!
175;***коммуникабельность стрессоустойчивость высокая степень самоорганизации пунктуальность
176;опыт продвижения интернет магазинов b2b | b2c
177;наличие успешных проектов
178;планирование и контроль выполнения задач по этапам проекта
179;управление командой проекта
180;управление взаимодействием с заказчиком
181;ведение проектной документации
182;управление договорной деятельностью с подрядчиком
183;высшее техническое образование
184;профильный опыт работы от 5-ти лет
185;у вас был собственный бизнес
186;у вас есть суперсила которой нет в списке но вы обязательно расскажете о ней на интервью
187;продажа it продуктов и сервисов (без поиска и холодных звонков)
188;ведение клиентской базы в crm-системе
189;документальное сопровождение сделки
190;контроль дебиторской задолженности
191;ведение телефонных переговоров с государственными и коммерческими организациями (клиентская база предоставляется)
192;продажа сайтов локальных актов it-продуктов для госорганизаций которые должны быть у них по законодательству рф
193;работа в офисе без встреч с клиентами
194;контроль поступления денежных средств
195;отчетность в базе crm
196;среднее/высшее образование
197;умение и желание продавать
198;опыт успешных продаж приветствуется
199;нацеленность на результат
200;активность инициативность и позитивный настрой
201;грамотная речь и знание пк
202;опыт внедрения или сопровождения microsoft dynamics ax 2012 в качестве консультанта от 2 лет
203;реальные результаты внедрения сопровождения microsoft dynamics ax
204;практические навыки написания технических заданий на модификации
205;креативный подход в тестировании модификаций
206;проактивность в работе с пользователями развитые устные и письменные коммуникативные навыки
207;принимать задачи от пользователей и писать спецификации на разработку
208;тестировать модификации
209;настраивать системы
210;консультировать поддерживать и обучать пользователей
211;писать инструкции пользователям
212;многозадачность по направлениям: интернет-магазин онлайн-продажи работа с маркетплейсами
213;обучаемость порядочность трудолюбие ответственность
214;любовь к интернету интернет-магазинам онлайн продажам
215;знание языков программирования (любых)
216;знание реляционной теории базовые навыки проектирования баз данных
217;исполнительность
218;коммуникабельность
219;разработка программных продуктов на платформе 1с
220;модификация типовых продуктов 1с
221;консультирование клиентов по вопросам учета в программах 1с
222;интеграция с внешними системами (напр веб-сайт клиента различные сервисы google яндекса и др)
223;работа в качестве инженера техподдержки
224;поддержка клиентов по техническим вопросам
225;высшее образование (радио-техническое или в сфере информационных технологий)
226;опытный пользователь пк (знание операционных систем браузеры почтовые программы основы работы и общее понимание сети интернет)
227;грамотная речь стрессоустойчивость
228;умение быстро диагностировать и устранять проблемы
229;базовое знание os linux
230;активное участие в проектах по разработке и внедрению интеграционных решений
231;анализ требований бизнес подразделений
232;проектирование архитектуры интеграционных систем
233;постановка и контроль задач разработчикам по и подрядчикам по направлению
234;полный контроль за ведением проекта
235;высшее образование по специализации в области информационных технологий
236;опыт внедрения различных информационных систем
237;опыт внедрения или управления разработкой интеграционных проектов в крупных компаниях будет являться преимуществом
238;понимание принципов работы erp систем систем электронной коммерции
239;опыт участия в проектах автоматизации в крупных компаниях в роли ведущего аналитика руководителя проекта
240;практические навыки в анализе и описании бизнес процессов
241;навыки взаимодействия с бизнес-заказчиком умение трансформировать проблемы и требования бизнеса в предложение решений по автоматизации и внедрению информационных технологий
242;управление изменениями в информационных системах на основании сформированных бизнес требований
243;выбор информационных систем для решения стратегических задач компании
244;участие в проектировании систем в части разработки функциональной модели модели данных модели процессов и тд
245;участие в разработке программ и методик испытаний реализованного программного обеспечения
246;взаимодействие с архитекторами систем по реализации нового функционала
247;постановка задач командам разработчиков
248;разработка маркетинговых стратегий для всех проектов компании включая определение приоритетных направлений развития бизнеса в плане расширения клиентской базы и базы покупателей
249;оценка перспективы развития рынка перспективы компании по освоению и завоеванию того или иного сегмента рынка
250;развитие и продвижение имиджа компании на рынке
251;управление маркетинговым бюджетом компании создание бюджетных отчетов
252;разработка и реализация маркетинговых акций и кампаний направленных как на потребителей так и на поставщиков нацеленных на продвижение торговых марок рост товарооборота и стимулирование покупателей
253;разработка мер по росту трафика конверсии стимулированию продаж
254;анализ эффективность проведения всех маркетинговых кампаний и их корректировка
255;опыт работы директором по маркетингу в сфере интернет-торговли более 3-х лет
256;высокая экспертиза performance и crm
257;коммерческое понимание электронного маркетинга
258;большой опыт планирования и составления бюджета
259;анализ рыночных тенденций и потребностей прогноз будущего
260;организаторские способности в том числе возможность точно оценить длительность проекта достижения качественных результатов в рамках бюджета и в установленные сроки решать проблемы и добиваться их решения
261;умение работать в команде и эффективно взаимодействовать с сотрудниками всех уровней в рамках компании
262;отличное знание английского языка
263;опыт программирования на платформе 1с 8х от 3х лет
264;базовые знания бизнес-процессов розничного бизнеса
265;установка настройка обновление программы 1с (первые 2-3 месяца) 
266;доработка отчетности в 1с под потребности клиента 
267;доработка конфигураций 1с по требованиям заказчика 
268;консультация клиентов по вопросам работы программы 1с 
269;техническое высшее образование также студенты последних курсов 
270;навыки программирования (любой язык) – как преимущество 
271;желание развиваться в сфере 1с активная жизненная позиция развитое логическое мышление ответственность обучаемость 
272;опыт работы в проектах в качестве pm
273;опыт работы и знание популярных методологий ведения проектов: scrum kanban а также умение работать в рамках waterfall
274;умение говорить на языке бизнеса а также способность переводить его на технический
275;понимание процесса движения проекта или инициативы от идеи до финального релиза
276;презентация достижений команды ведь нам важно получать обратную связь и понимать значимость своей работы
277;а еще конечно что вы высоко мотивированный участник команды эксперт в управлении конфликтов и приоритетов между командой и стейкхолдерами и вы увлечены и любите свою работу
278;организовывать работу сотрудников как выделенных на проект так и относящихся к разным подразделениям
279;коммуницировать с заказчиками работать в связке с бизнес-аналитиком команды
280;вести отчетность по проекту (jira)
281;высокий уровень самоорганизации системность и стрессоустойчивость
282;стремление к повышению своих знаний в it- сфере а также в деловой коммуникации
283;проведение переговоров и демонстраций программных продуктов (презентации общение на уровне первых лиц компаний) формализация требований подготовка коммерческих предложений заключение договоров контроль расчетов
284;изучение функциональных возможностей программных продуктов на платформе 1с
285;разработка и участие в маркетинговых проектах (выставки семинары вебинары и тп)
286;тестировать сайты/мобильные приложения/сервисы составлять список правок контролировать их выполнение 
287;составлять гугл-таблицы по шаблонам 
288;контролировать задачи/сроки разработчиков в битрикс24 
289;писать кейсы о выполненных работах 
290;формировать техническое задание/смету 
291;общаться с заказчиками 
292;создавать опросы для компании 
293;организовывать движ в коллективе 
294;знание верстки/html 
295;знание 1с-битрикс и битрикс24 
296;опыт в тестировании сайтов 
297;уметь думать о пользе клиенту и решении бизнес-задачи 
298;умения аргументированно корректно отстаивать свою точку зрения 
299;консультирование пользователей выявление их потребностей
300;разработка документов «руководство пользователя»
301;участие на всех этапах внедрения
302;базовые навыки работы с 1с (на уровне уверенного пользователя)
303;развитые коммуникативные навыки
304;знание любой конфигурации 1с
305;понимание бухгалтерского налогового или управленческого учета
306;обеспечение работоспособности и грамотной технической эксплуатации энергетического климатехнического оборудования оборудования пожарной безопасности
307;осуществление подготовки и разработки ведомственной нормативно-технической документации
308;способствование внедрению новой техники обеспечивающей более надежную экономическую и безопасную работу оборудования
309;техническое и организационное руководство работниками ведомственной нормативно технической и другой документации
310;координация работы структурных подразделений и филиалов
311;планирование и внедрение перспективных технологий в области энергетики климатехники и пожаротушения участие в работе по заключению договоров в том числе по проекту цифрового телерадиовещания
312;высшее техническое (инженер-энергетик) 
313;обладать теоретическими и практическими знаниями в сфере телерадиовещания 
314;нормативные регламентирующие документы в области энергетики и системе жизнеобеспечения 
315;прикладные компьютерные программы (программы microsoft office навыки работы с оргтехникой) 
316;правила и нормы охраны труда техники безопасности 
317;свободно владеть государственным языком 
318;трудолюбие высокая работоспособность профессионализм ответственность 
319;администрированиезагрузка данных зонирование распределение подсчет сбор отчетности в crm
320;профессиональная помощь сотрудникам
321;знание пакета офисных программ
322;ответственность усидчивость
323;работа с актуальной и постоянно обновляющейся базой данных объектов недвижимости всего сочи
324;формирование клиентской базы
325;ведение переговоров с клиентами
326;полное сопровождение сделки купли-продажи
327;подбор объектов недвижимости по запросу клиента
328;показ объектов клиентам
329;консультирование
330;ежедневно предоставляются готовые к покупке клиенты
331;безлимитная корпоративная связь
332;разработка интернет-проектов различного уровня сложностиразработка модулей и компонентовразработка интеграций сайтов с внешним по (аналитика crm)поддержка и доработка существующих интернет-проектоввсе проекты написаны на cms битриксрешение оперативных задач связь с дизайнером менеджерами сайта для разъяснения работ
333;html css javascript - на базовом уровнеphp - знание на высоком уровне умение разбираться в чужом кодеmysql построение сложных запросовзнание битрикс на высоком уровне структура базы данных умение писать собственные компоненты и модули
334;управление планирование и разработка проектов относящихся к ит системам
335;разработка тз
336;определение проектных задач и необходимых ресурсов
337;создание проектных планов
338;координация проектных команд и консультантов
339;управление проектным бюджетом
340;контроль качества по
341;отчеты по состоянию проекта для управляющих комитетов
342;планирование управление изменениями проектов и систем находящихся в продуктивной фазе
343;администрирование облачной платформы
344;дизайн разработка и имплементация бизнес-процессов
345;консультации конечным пользователям и департаментам
346;английский язык – upper intermediate
347;профессиональное знание ms office
348;высокие коммуникационные и презентационные навыки
