;Required skill
0;высшее техническое образование
1;опыт работы программистом 1с от 3-х лет
2;опыт внедрения систем 1с автоматизации внутренней деятельности и бизнес-процессов компании
3;уверенные знания платформы и средств разработки 1с:предприятие 83
4;отличные знания языка запросов и скд
5;опыт разработки управляемого приложения (управляемые формы)
6;опыт разработки механизмов интеграции 1с с другими системами (xml com web-сервисы конвертация)
7;уверенные знания предметных областей: rls управляемые блокировки
8;опыт и навыки в качестве дополнительных преимуществ: наличие сертификатов 1с
9;отрисовка интерфейса b2b-системы: desktop mobile
10;проработка локальных user stories
11;участие в проектировании глобального ux
12;отрисовка элементов интерфейса (иконки контролы и тд)
13;наличие портфолио обязательно
14;опыт работы по профилю от 2-х лет
15;вся работа в figma
16;начальный уровень adobe illustrator
17;прием обращений от пользователей
18;регистрация и мониторинг инцидентов и жалоб
19;первичная оценка поступающих обращений начальная поддержка пользователей
20;взаимодействие с другими подразделениями для решения проблем или передачи инцидентов
21;поддержка информационных систем банка в соответствии с действующими бизнес-процессами банка требованиями законодательства рк и требованиями других уполномоченных органов
22;консультации сотрудников банка по оформлению заявок на регистрацию и предоставление доступа
23;обеспечение регистрации перерегистрации и изменений действующих прав пользователей в информационных системах банка согласно утвержденным внутренним нормативным документам банка
24;анализ и формализация требований к программным продуктам
25;анализ существующих систем моделей и применяемых технологий
26;постановка задач на разработку и доработку функциональных возможностей систем
27;подготовка пользовательской документации (руководства пользователей инструкции)
28;опыт участия в проектах разработки по scrum / kanban
29;умение работать с xml xsd xslt
30;опыт работы с visio/enterprise architect/aris
31;аналитическое мышление
32;разработка и реализация концепции управления жизненным циклом клиента
33;разработка и реализация стратегии развития клиентской базы
34;планирование и реализация целевых маркетинговых акций
35;разработка и реализация стратегии развития целевых каналов коммуникаций
36;разработка и реализация стратегии сбора контактных данных клиентов
37;разработка и реализации коммуникационной политики контактной политики
38;высшее образование (маркетинг менеджмент)
39;аналогичный опыт работы от 3 -х лет
40;знания и опыт практического применения методов сегментирования и целевого развития клиентской базы бюджетирования и контроля расходования маркетингового бюджета
41;экспертные знания построения «с нуля» процессов целевого маркетинга
42;опыт реализации масштабных многоуровневых емейл-кампаний (каскадные коммуникации «догоняющие» и тд)
43;системность структурированность грамотность
44;аналитический склад ума
45;умение работать с большими объемами данных и большими таблицами
46;общее понимание устройства пк комплектующих мультимедийного и серверного оборудования
47;уверенный пользователь сети интернет
48;знание excel на уровне уверенного пользователя - сводные таблицы и формулы (логические текстовые ссылки и массивы)
49;опыт работы в качестве менеджера проектов от 2 лет
50;уровень английского не ниже intermediate
51;опыт работы с командой по одной из гибких методологий
52;опыт работы с таск-трекерами
53;прекрасное владение русским языком и умение чётко излагать свои мысли в письменном виде
54;инициация проекта
55;планирование
56;контроль выполнения работ согласно плана (настройка системы)
57;организация работы подрядчика
58;формирование статусов
59;аналитика по работе в системе
60;опыт внедрения crm (любая платформа) и интеграции с телефонией
61;знание процессов продаж
62;крайне желателен опыт работы с 1с8
63;опыт программирования на платформе 1с 8х от 3х лет
64;базовые знания бизнес-процессов розничного бизнеса
65;консультационная поддержка пользователей типовых программных продуктов и отраслевых решений на базе платформы 1с:предприятие 83 (в основном: ут 103/11 ка унф crm от раруса) 
66;установка обновление и настройка типового функционала 
67;обучение пользователей 
68;анализ и исправление ошибок пользователей 
69;изучение учебно-методической литературы от фирмы 1с 
70;тестирование 
71;разработка инструкций 
72;анализ задач составление и согласование тз с заказчиком 
73;ведение закупочных и договорных процедур по проекту
74;управление проектом по разработке crm: подготовка и согласование документации
75;управление рисками проекта
76;контроль бюджета и ресурсного плана
77;наличие высшего образования
78;опыт управления проектами по разработке по от 2 лет
79;знание нормативной базы по закупкам
80;знание риск-менеджмента
81;владение excel и ms project
82;поддержка руководства при подготовке и проведению маркетинговых мероприятий (семинаров выставок работа с отраслевой прессой рассылка электронных сообщений)
83;координация маркетинговых мероприятий с центральным офисом в германии 
84;поддержка и организация телефонных звонков
85;поддержка при переводе маркетинговых материалов внутренних документов текстов на сайте
86;поддержка в переводе при проведении международных семинаров
87;поддержка при составлении и переводе проектных документов
88;отличные знания немецкого и/или английского языков обязательны (свободное владение)! 
89;опыт работы в сфере маркетинга продаж
90;опыт работы в пищевой отрасли приветствуется
91;интерес и готовность к перспективе работать в продажах (ит-проекты в пищевой отрасли)
92;готовность к нечастым и недлительным командировкам как по россии так и за рубежом
93;общительность открытость пунктуальность трудоспособность
94;анализ бизнес-требований подготовка архитектурных спецификаций на доработки dwh
95;развитие системной архитектуры dwh
96;проработка создание и развитие ods (operational data store cdc на oracle goldengate)
97;курирование координация работ в роли архитектора команды разработчиков (внутренней и подрядчиков) при доработках dwh
