;Required skill
0;управление разработкой
1;бизнес-консультирование
2;управление затратами
3;формирование бюджета
4;управленческое консультирование
5;анализ данных
6;деловая коммуникация
7;active directory
8;информационные технологии
9;ремонт пк
10;сборка пк
11;helpdesk
12;информационные технологии
13;обучение и развитие
14;работа в команде
15;cad
16;внедрение информационных систем
17;bim
18;idef
19;uml
20;ms visio
21;системный анализ
22;atlassian jira
23;бизнес-анализ
24;управление проектами
25;подготовка презентаций
26;управление персоналом
27;работа с большим объемом информации
28;javascript
29;java
30;b2b продажи
31;бизнес-анализ
32;системный анализ
33;информационные технологии
34;b2b продажи
35;тренинги
36;обучение персонала
37;обучение и развитие
38;проведение презентаций
39;управление проектами
40;проведение презентаций
41;информационные технологии
42;разработка технических заданий
43;ориентация на результат
44;проектное управление
45;банковские процессы
46;цифровизация
47;роботизация rpa
48;rpa
49;английский язык
50;автоматизация технологических процессов
51;асу тп
52;mysql
53;html
54;коммуникабельность
55;целеустремленность
56;mercurial
57;ms sql
58;sql
59;аналитический склад ума
60;javascript
61;css
62;sql
63;пользователь пк
64;администрирование серверов
65;администрирование сетевого оборудования
66;организаторские навыки
67;информационные технологии
68;локальные сети
69;ответственность
70;разработка инструкций
71;ms sql
72;mysql
73;sql
74;postgresql
75;oracle
76;управление проектами
77;ведение переговоров
78;оптимизация бизнес-процессов
79;autocad
80;заключение договоров
81;деловая переписка
82;работа в команде
83;руководство коллективом
84;autocad
85;инженерные системы
86;проектная документация
87;системный анализ
88;проектирование
89;субд
90;sparx enterprise architect
91;uml
92;bpmn
93;adobe photoshop
94;ms powerpoint
95;контроль качества
96;mysql
97;организационное проектирование
98;ms office
99;itsm
100;itil
101;sql
102;active directory
103;администрирование серверов windows
104;настройка dns
105;dhcp
106;администрирование сетевого оборудования
107;управление проектами
108;ms project
109;подготовка презентаций
110;ms visio
111;навыки презентации
112;autocad
113;3d
114;договорная работа
115;составление договоров
116;договоры поставки
117;бюджетирование
118;автоматизация
119;ms sql
120;dwh
121;data lake
122;системный анализ
123;аналитическое мышление
124;sql
125;mysql
126;oracle bi
127;аналитик
128;архитектор хранища данных
129;хранилище данных
130;холодные продажи
131;ведение переговоров
132;проведение презентаций
133;прием и распределение телефонных звонков
134;исполнение личных поручений руководителя
135;деловое общение
136;деловая коммуникация
137;консультирование клиентов по телефону
138;холодные звонки
139;активные продажи
140;навыки продаж
141;навыки презентации
142;пользователь пк
143;ms project
144;управление проектами
145;английский язык
146;деловое общение
147;бизнес-анализ
148;оптимизация бизнес процессов
149;sql
150;php
151;работа в команде
152;ms sql
153;python
154;oracle
155;oracle pl/sql
156;pl+
157;ibso
158;проектирование
159;асу
160;программирование
161;автоматизация
162;automation
163;асутп
164;автоматизация технологических процессов
165;автоматизация производства
166;plc
167;scada
168;hmi
169;wincc
170;siemens
171;simatic
172;step7
173;tiaportal
174;s7-1200
175;s7-1500
176;logo!
177;schneider
178;ge
179;generalelectric
180;weintek
181;delta
182;английский язык
183;аналитические исследования
184;маркетинговый анализ
185;бизнес-анализ
186;аналитика
187;аналитическое мышление
188;моделирование бизнес процессов
189;анализ рынка
190;анализ бизнес показателей
191;деловое общение
192;работа в команде
193;atlassian jira
194;ведение переговоров
195;организаторские навыки
196;управление продуктом
197;управление персоналом
198;анализ данных
199;статистический анализ
200;системы автоматизации
201;системы пожаротушения
202;autocad
203;английский язык
204;ms visio
205;проектная документация
206;инженерные системы
