;Required skill
0;пользователь пк;261
1;грамотная речь;209
2;работа в команде;184
3;ведение переговоров;178
4;активные продажи;156
5;управление проектами;154
6;английский язык;142
7;высшее образование;121
8;телефонные переговоры;110
9;заключение договоров;106
10;b2b продажи;102
11;деловое общение;101
12;autocad;101
13;коммуникабельность;84
14;деловая переписка;84
15;настройка пк;83
16;нацеленность на результат;80
17;развитие продаж;79
18;поиск и привлечение клиентов;79
19;прямые продажи;79
20;информационные технологии;77
21;навыки продаж;76
22;ремонт пк;75
23;деловая коммуникация;75
24;sql;72
25;проведение презентаций;72
26;настройка сетевых подключений;71
27;высшее техническое образование;71
28;ответственность;67
29;грамотность;67
30;умение работать в команде;66
31;управление продажами;65
32;настройка по;65
33;1с: предприятие 8;64
34;windows 7;61
35;crm;60
36;1с: документооборот;60
37;есть знания в сфере компьютеров‚ ноутбуков‚ комплектующих к ним;59
38;самоорганизованность;59
39;холодные продажи;58
40;обучение и развитие;56
41;клиентоориентированность;56
42;организаторские навыки;55
43;проектная документация;54
44;закупки;53
45;ms project;52
46;закупка товаров и услуг;51
47;ms visio;50
48;бизнес-анализ;50
49;строительство;46
50;сборка пк;45
51;ms sql;44
52;грамотная устная и письменная речь;44
53;ms powerpoint;43
54;1с программирование;42
55;ориентация на результат;42
56;планирование продаж;42
57;разработка технических заданий;41
58;консультирование;41
59;навыки межличностного общения;41
60;javascript;40
61;стрессоустойчивость;40
62;управление персоналом;36
63;git;36
64;техническое обслуживание;36
65;аналитическое мышление;35
66;системы видеонаблюдения;35
67;работа с большим объемом информации;34
68;информационная безопасность;34
69;преподаватель;34
70;ms outlook;32
71;навыки презентации;32
72;руководство коллективом;31
73;навыки переговоров;31
74;документальное сопровождение;31
75;1с: бухгалтерия;30
76;mysql;30
77;уверенный пользователь пк;30
78;1с: управление торговлей;29
79;css;29
80;ms excel;29
81;adobe photoshop;28
82;управление командой;27
83;tcp/ip;27
84;документооборот;27
85;html;26
86;active directory;26
87;подготовка коммерческих предложений;26
88;обучение персонала;24
89;управление рисками;24
90;техническая поддержка;23
91;умение работать в коллективе;23
92;разработка проектной документации;23
93;аналитический склад ума;23
94;администрирование сетевого оборудования;23
95;офисная техника;23
96;работа с поставщиками;23
97;внимательность;23
98;atlassian jira;22
99;управление отношениями с клиентами;22
100;оптимизация бизнес-процессов;22
101;холодные звонки;22
102;linux;22
103;подготовка презентаций;22
104;готовность к командировкам;22
105;пунктуальность;21
106;администрирование серверов windows;21
107;внутренний контроль;20
108;работа с возражениями;20
109;договорная работа;20
110;активное участие в жизнедеятельности магазина;20
111;работа с базами данных;19
112;uml;19
113;управленческие навыки;19
114;контроль дебиторской задолженности;19
115;анализ рынка;18
116;internet;18
117;участие в тендерах;18
118;развитие и поддержание долгосрочных отношений с клиентами;18
119;моделирование бизнес процессов;17
120;поиск информации в интернет;17
121;аналитика продаж;17
122;ооп;17
123;консультирование клиентов;17
124;c++;17
125;согласование договоров;17
126;ведение документации;17
127;аудит безопасности;17
128;обучаемость;17
129;планирование закупок;17
130;активная жизненная позиция;17
131;исполнительность;17
132;agile project management;16
133;scrum;16
134;системное мышление;16
135;ms office;16
136;1с: зарплата и управление персоналом;16
137;python;16
138;java;16
139;выездное обслуживание;16
140;проектирование;16
141;1с: торговля;16
142;опытный пользователь пк;16
143;1с-битрикс;15
144;многозадачность;15
145;helpdesk;15
146;составление договоров;15
147;желание работать и зарабатывать;15
148;высшее строительное образование;15
149;управление временем;14
150;системный анализ;14
151;bpmn;14
152;windows xp;14
153;работа с людьми;14
154;государственные закупки;14
155;сметы;14
156;работа с текущей базой клиентов;14
157;выполнение плана продаж;14
158;аналитические исследования;13
159;php;13
160;postgresql;13
161;c#;13
162;1c: бухгалтерия;13
163;консультирование клиентов по телефону;13
164;планирование;13
165;монтаж инженерных систем;13
166;работа с оргтехникой;13
167;технические системы и средства безопасности;13
168;системы безопасности;13
169;креативность;13
170;инженерные системы;13
171;проведение тендеров;13
172;archicad;13
173;ценообразование;13
174;бизнес-планирование;12
175;анализ данных;12
176;постановка задач разработчикам;12
177;сопровождение клиентов;12
178;контроль качества;12
179;erp;12
180;1с: управление производственным предприятием;12
181;автоматизация технологических процессов;12
182;планирование карьеры;12
183;организация встреч;12
184;настройка серверов;12
185;проведение внутренних расследований;12
186;дисциплинированность;12
187;точность и внимательность к деталям;12
188;b2c продажи;12
189;чтение чертежей;12
190;строительный контроль;12
191;ведение клиентской базы;12
192;оптимизация закупок;12
193;обучение;12
194;опыт работы от 1 года;12
195;высшее профессиональное образование;12
196;инициативность;11
197;маркетинговый анализ;11
198;аналитика;11
199;ms access;11
200;ms sql server;11
201;мобильность;11
202;обновление конфигурации 1с;11
203;oracle;11
204;управление производством;11
205;делопроизводство;11
206;sap;11
207;delphi;11
208;монтаж оборудования;11
209;ms word;11
210;тендеры;11
211;закупка оргтехники и оборудования;11
212;охрана объекта;11
213;обучение пользователей;11
214;высшее профильное образование;11
215;высшее образование ;11
216;разработка по;10
217;статистический анализ;10
218;project management;10
219;администрирование;10
220;windows server 2003;10
221;erp-системы на базе 1с;10
222;mac os;10
223;ms dos;10
224;умение планировать;10
225;техническое образование;10
226;аналитические способности;10
227;itil;10
228;быстрая обучаемость;10
229;dhcp;10
230;системы охранно-тревожной сигнализации;10
231;желание учиться и развиваться;10
232;работа с дебиторской задолженностью;10
233;проведение переговоров;10
234;кадровая безопасность;10
235;развитые коммуникативные навыки;10
236;продажа компьютерной цифровой и бытовой техники;10
237;консультирование клиентов по интересующим вопросам;10
238;работу с широким ассортиментом и конкурентными ценами ;10
239;возможность работать рядом с домом ;10
240;заработная плата: стабильная полностью белая ;10
241;возможность обучения и развития ;10
242;карьерный рост набирая сотрудников только на линейные позиции мы даем возможность своим сотрудникам расти внутри компании ;10
243;развитие и поддержание долгосрочных отношений с клиентами ;10
244;активное участие в жизнедеятельности магазина ;10
245;работа с кассой и базой 1с ;10
246;тех кто любит общение с людьми и готов помогать им с выбором техники ;10
247;тех кто увлекается техникой и готов постоянно обновлять свои знания по ассортименту ;10
248;ответственных и честных сотрудников мы только за соблюдение договоренностей и за честность по отношению к сотрудникам и клиентам ;10
249;тех кто готов работать в команде решать совместные задачи и помогать друг другу в работе ;10
250;сотрудников желающих развиваться и расти вместе с нами ;10
251;тех кто готов к работе в режиме многозадачности задачи сложные но интересные ;10
252;контроль за качественным и количественным наполнением витрин;10
253;проведение тестирований;9
254;стратегическое планирование;9
255;базы данных;9
256;xml;9
257;cистемы управления базами данных;9
258;проектный менеджмент;9
259;oracle pl/sql;9
260;ms movie maker;9
261;html5;9
262;целеустремленность;9
263;ms visual studio;9
264;электрические системы и слаботочные системы;9
265;тестирование;9
266;автоматизация;9
267;урегулирование конфликтов;9
268;настройка dns;9
269;cisco;9
270;ведение отчетности;9
271;электронный документооборот;9
272;производство строительно-монтажных работ;9
273;мотивация персонала;9
274;оценка потребностей клиентов;9
275;первичные документы;9
276;autodesk revit;9
277;развитие ключевых клиентов;9
278;оформление документации;9
279;мерчандайзинг;9
280;творческое мышление;9
281;asp;9
282;активность;9
283;умение работать в режиме многозадачности;9
284;консультирование пользователей;9
285;хорошие коммуникативные навыки;9
286;общаться с клиентами рассказывать о продуктах и услугах;9
287;продавать гаджеты и аксессуары;9
288;управление продуктом;8
289;adobe illustrator;8
290;1с: предприятие;8
291;расстановка приоритетов;8
292;нормативно-техническая документация;8
293;деловая этика;8
294;1с: управление предприятием;8
295;windows os;8
296;ms internet explorer;8
297;обеспечение жизнедеятельности офиса;8
298;vmware;8
299;имущественная безопасность;8
300;администрирование серверов;8
301;поддержка пользователей;8
302;гражданское строительство;8
303;жилая недвижимость;8
304;google chrome;8
305;репетитор;8
306;деловая корреспонденция;8
307;организация учебного процесса;8
308;опыт работы;8
309;монтаж установка и настройка оконечного абонентского оборудования;8
310;демонстрация работоспособности услуг;8
311;консультация пользователей по вопросам настройки абонентского оборудования и работы услуг;8
312;льготные тарифы на отдых в санаториях компании летние путевки для детей;8
313;презентабельный внешний вид;8
