,description
0,"Обязанности:  Поддержка рабочих мест, копировально-множительной техники, систем АКС/ВКС. Консультирование пользователей по телефону, электронной почте. Выявление ошибок на пользовательских компьютерах, программного обеспечения, восстановление работоспособности системы при сбоях и выходе из строя ИТ-оборудования. Подготовка и выдача новых рабочих мест, модернизация текущих. Работа с заявками в системе HelpDesk. Выполнение регламентных SLA.  Требования:   Высшее техническое образование со специализацией в области информационных технологий, автоматизированных систем управления, системного анализа.   Обязательно:  Знание ОС Windows и офисного программного обеспечения на уровне опытного пользователя. Знание основ функционирования и построения ЛВС. Навыки диагностики и устранения неисправности ПК, комплектующих и оргтехники.  Желательно:  Опыт работы с Active Directory, системами HelpDesk. Умение пользоваться диагностическими утилитами. Умение понимать пользователей и желание решить их проблему. Стрессоустойчивость.  Условия:  Конкурентная оплата труда. Премиальные выплаты ДМС и страхование от несчастных случаев и болезней. Медицинское обслуживание и мониторинг здоровья. Оплачиваемая мобильная связь. Скидки на питание. Развивающие программы и тренинги. Материальная помощь, до­полнительные дни отдыха в связи с особыми событиями жизни. Санаторно – курортный отдых в Анапе и Алтай­ском крае. Детский оздоровительный лагерь в Анапе. Детские подарки на Новый год и 1 сентября. Дополнительный социальный пакет для членов Профсоюза. Скидки от партнеров компании (фитнес центры, корпоративные отели и т.д.). "
1,"Ведущий российский разработчик и производитель высокотехнологичной автомобильной электроники – ТЭК электроникс с 2005 года создает уникальные продукты, с учетом последних технических и научных достижений. Если Вам интересна работа на производственном предприятии, если Вас привлекает сфера автомобильной индустрии и Вас не оставляет равнодушным успех отечественной промышленности – мы будем рады видеть Вас частью нашей команды. Обязанности:   Прорисовка интерфейсов мобильных и WEB-приложений;    Выработка общей концепции интерфейсов системы;    Тестирование предложенных решений;    Прототипирование и визуализация интерфейсов;   Презентация созданного интерфейса заказчику, обоснование своих решений   Требования:  Наличие портфолио по UI/UX проектированию (обязательно). Опыт разработки пользовательских интерфейсов от 2-х лет. Высокий уровень владения графическими редакторами. Умение аргументировать свои дизайн-решения c точки зрения UI/UX. Знания тенденций в современном дизайне интерфейсов.  Понимание технологий Web- разработки. Понимание юзабилитии процесса проектирования. Знание Guideline (IOS, Android).  Условия:  Место работы: Москва, ул. 16-я Парковая, (м. Щелковская); Рабочий день с 10-00 до 19-00 (понедельник-пятница); Оформление на работу в соответствии с ТК РФ; Уровень зарплаты обсуждается по итогам собеседования; Отсутствие дресс-кода; Работа в команде профессионалов высокого уровня с возможностью карьерного и профессионального роста; Возможность влиять на проект хорошими идеями и видеть свой вклад в конечном продукте; Бесплатные обеды. "
2,"ECommPay IT – международная компания, с нами работают более 500 молодых специалистов в семи офисах мира, расположенных в Европе, Азии, России и странах СНГ, со штаб-квартирой в Великобритании. Мы даем клиентам комплексные решения по приему и обработке онлайн платежей в сфере эквайринговых решений и мобильной коммерции. Благодаря команде ИТ-профессионалов платежной индустрии, качественному менеджменту и собственному отлаженному производству программного обеспечения ECommPay IT помогает своим клиентам запускать новые эффективные продукты и услуги. У нас около 16 проектов разработки, а сейчас мы ищет разработчика в команду Админки процессинга.Админка — это продукт для внутреннего пользования, который объединяет в себе управление настройками порядка 7-ми проектов компании, имеет развитый интерфейс, предназначенный для работы с очень большим объемом данных. Упор делается на производительность, удобство и скорость работы пользователя и на современность используемых технологий.Мы используем готовый ui-kit, поэтому сосредотачивает своё внимание на логике больше, чем на вёрстке. Мы расширяем свою команду и ищем Frontend-разработчика Стек технологий: React, Redux. Что ждем от будущего коллеги:• Уверенный знания JavaScript, CSS, HTML• React + Redux• Понимание принципов работы rest api• Опыт работы с высоконагруженными интерфейсами• Опыт работы с GITПлюсом будет:• Навыки работы с базами данных (написание простых SQL запросов)• Опыт написания тестов• Опыт разработки на других языках программирования Что получит наш коллега:  Удобный график работы: у нас гибкое начало дня с 8:00 до 11:00; Официальное оформление; Конкурентную зарплату (обсуждаем с каждым кандидатом); Соц. пакет (оплата больничных, отпусков, ДМС, оплата питания и частичная оплата занятий фитнесом); Благоприятную среду для профессионального развития: возможность посещения профильных конференции, тренингов, заказ  необходимой литературы;  Отсутствие дресс-кода; свободная и позитивная атмосфера. "
3,"Обязанности: В2В продажа систем автоматизированного проектирования, а именно:  Анализ рынка, поиск новых заказчиков; Участие в отраслевых выставках, конференциях и иных активностях для привлечения новых заказчиков; Квалификация новых заказчиков (соответствие по размеру, бюджету, проблематике), выявление потребности заказчика и адаптация предложения; Демонстрация продукта (совместно с техническим специалистом), подготовка плана апробации продукта заказчиком, сопровождение апробации продукта заказчиком; Формирование ТКП для заказчика, отработка возражений, заключение сделок; Координация работ по внедрению, контроль сроков по проектам внедрения; Мониторинг удовлетворенности заказчика, поддержка и развитие доверительных отношений после продажи; Проработка планов по дальнейшему развитию продукта для достижений целей заказчика, upsale, продажа техподдержки.  Требования:  Опыт продаж продуктов и услуг в сегменте B2B с циклом продаж от года; Готовность освоения новой предметной области; Навыки эффективной коммуникации с людьми и результативного ведения переговоров; Готовность к частым командировкам в разные уголки РФ; Будет плюсом: технический бэкграунд или опыт продаж технически сложных продуктов в сегменте B2B, опыт в продажах или внедрении систем типа: ECAD, CAD, PLM, PDM, опыт руководителя или куратора проекта;  Условия:  Высокая заработная плата, прозрачная премиальная система; Оформление в соответствии с ТК РФ; Для специалистов из других городов - компенсация оплаты жилья в городе; Компенсация питания "
4,"Мы ищем в команду энергичного и ответственного менеджера продукта Albato Albato - один сервис для всех интеграций более чем 100 сервисов мира и рунета. Мы помогаем сервисам и предпринимателям объединять между собой различные системы, автоматизировать работу и ускорять бизнес-процессы! Тебе предстоит погрузиться в рынок Saas, постоянно находиться в поиске крутых юз.кейсов и доводить их до релизов и конечного пользователя. Мы не только объединяем сервисы онлайн, но и оффлайн много времени общаемся с рынком облачных сервисов, много знакомств и интересного опыта тебе будет обеспечено. * Участник &quot;Сколково&quot; Обязанности:  Проведение CustDev-ов с клиентами России, СНГ и целевых иностранных рынков  Анализ рынка, работа с участниками рынка (бизнес, агентства, студии)   Работа с гипотезами: формулировка, валидация.   Описание функциональных требований  Управление бэклогом Исследования конкурентов Разработка стратегии позиционирования и маркетинга продукта Аналитика и отслеживание показателей в ежемесячном режиме Общение с партнерами, проектное управление  Требования:  Опыт успешного управления продуктом; Опыт работы в облачном сервисе, команде занимающейся веб-разработкой или разработкой игр; Представление о CRM маркетинге: бизнес-процессах, сервисах Знание технологий и продуктов для web, мобильного web; Владение инструментами веб-аналитики; Внимательность к деталям; Аналитический склад ума; Умения смотреть на вещи глазами других людей; Коммуникабельность, умение построить рабочие отношения с разными людьми;  Условия:  Оформление в соответствии с ТК РФ, «белая» зарплата; Испытательный срок 2 месяца; График работы: 5/2, возможность гибкого начала-конца дня; 10 мин. пешком от м. Белорусская / 10 мин от Улица 1905 г.; Столовая на территории БЦ с умеренными ценами; Кофемашина, чай и фрукты в офисе; Обучение и конференции "
5,"Команда ПИК-Франшиза, которая внедряет лучшие практики строительства в регионах России, ищет в команду Руководителя web-продукта. Обязанности:  Разработка архитектуры комплекснного корпоративного сервиса - продукта ПИК-Платформа; Составление концептов по продукту, разработка презентаций, базовое фин.моделирование; Бизнес-анализ, составление ТЗ к разработке верхнего уровня; Защита бюджета и плана проекта, управление работами и результатами, операционное взаимодействие с подрядчиками; Релиз-менеджмент и контроль выдачи, проведение приемочных испытаний прототипов и итогового функционала; Определение требований к сопровождению и контроль SLA. Управление технической поддержкой первых лиц (разбор инцидентов, локализация проблем);Реализации централизованного логирования и мониторинга работоспособности/доступности сервисов.  Требования:  Понимание принципов организации разработки и технической поддержки информационных систем в группе компаний; Обязательны знания жизненного цикла разработки и сопровождения ПО; Широкий технический кругозор: знание основных продуктов и решений на рынке IT (вычислительная и сетевая инфраструктура, СХД, ИБ, облачные сервисы, виртуализация, DevOps, развёртывание и поддержка сред, программные инфраструктурные решения, решения в области управления и мониторинга; Опыт работы продакт-менеджером от 3-ех лет, действующий продукт - web-решение или платформа-агрегатор.  Условия работы:  Оформление в соответствии с ТК РФ; Официальная заработная плата обсуждается при собеседовании; После испытательного срока медицинское обслуживание; Премия по итогам года. "
6,"Обязанности:   формирование dashboard и отчетности по различным направлениям бизнеса;   автоматизация управленческой отчетности;   подготовка аналитических и презентационных материалов для ТОП менеджмента компании;   анализ ключевых финансовых и натуральных показателей по различным направлениям бизнеса;   разработка методологии формирования отчетности по определенным направлениям бизнеса.     Требования:   высшее экономическое/техническое образование;   хорошие аналитические способности;   высокий уровень владения Excel;   навыки формирования презентационных материалов;   знание основных принципов формирования финансовой отчетности и финансового анализа;   знание языков программирования (SQL, VBA, Python или прочее) или опыт работы в Power BI, Power Query являются преимуществом.     Условия:  Стабильная белая зарплата и премии два раза в год; Скучно не будет— у нас множество интересных и сложных проектов; Учиться— мы сделали обучение доступным: вы можете проходить тренинги в корпоративном университете МТС как очно, так и дистанционно, у МТС есть собственная виртуальная библиотека с сотнями книг по менеджменту, карьере и хобби; Расти и развиваться— вы сами выбираете стать экспертом или руководителем Быть здоровым— ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж, бесплатные тренировки по волейболу и баскетболу, футбольная команда, беговой клуб; Хорошо отдохнуть — отпуск 31 день; Раскрыть талант— мы поддерживаем хобби сотрудников, корпоративный и кукольный театр; Помогать людям вокруг— у нас есть программы помощи детям из детских домов, мы обучаем пенсионеров безопасному поведению в сети, сдаем кровь, очищаем парки от мусора на волонтерских субботниках и многое другое. "
7,"Компания, работающая на В2В рынке, являющаяся лидером своего сегмента рынка, приглашает на работу менеджера проекта автоматизации продаж на ранней стадии его реализации. Обязанности: 1. Сбор и формализация требований руководителей компании и бизнеса к системе, ее частям, алгоритмам и т.д.2. Планирование и организация работ по созданию и развитию системы .Формирование, визуализация и поддержание в актуальном состоянии общей структуры системы3. Управление системой – настройки, доступы, контент и т.д.4. Организация сбора аналитики, анализ статистических и аналитических данныхСбор обратной связи от клиентов и сотрудников направления, анализ звонков КЦ по функционалу системы и реализация изменений в интерфейсе системы.5. Подготовка и предоставление необходимой отчетности по проекту Требования:  Образование: Высшее Знание ин. языков: английский приветствуется, но не обязательно Опыт работы: участие в построении web интерфейсов, опыт координации их реализации Профессиональные компетенции: понимание современных технологий в построении Web систем, хорошие навыки управления сложными проектами и опыт внедрения этих проектов, умение работать с большими объемами данных и аналитикой Личные качества: коммуникативные способности, системное мышление, умение налаживать и поддерживать конструктивные отношения, публичность  Условия:  График работы с 8.30 до 17.30 ч. (возможна корректировка). Стартовая з/п - 200000-300000 руб. (по результатам собеседования). Социальный пакет: добровольное медицинское страхование; профессиональное обучение. Перспективы роста. Дружный коллектив. Офис: ст. МЦК «Новохохловская».​​​​​​​​​​​​​​ "
8,"Обязанности:  Управление группами инженеров в области системного администрирования и телекоммуникаций Управление сервисами в области системного администрирования и телекоммуникаций Управление проблемами и инцидентами в рамка всех линий поддержки Оптимизация затрат на оборудование и лицензии Планирование и контроль исполнения бюджета отдела Планирование и контроль исполнения бюджета ФОТ отдела Взаимодействие с сотрудниками офиса и удаленных подразделений Взаимодействие с поставщиками ИТ-услуг и сетевого оборудования  Требования:  Опыт работы в аналогичной должности от 3-х лет Высшее техническое образование Уверенные навыки и знания в области проектирования и создания локальных вычислительных сетей (ЛВС) Уверенные навыки и знания в области системного администрирования и управления сетями Опыт работы с различными средствами мониторинга работы сетей и серверного оборудования Знание принципов работы протоколов TCP/IP Знание принципов построения беспроводных локальных вычислительных сетей (Wi-Fi) Знание принципов работы IP телефонии Знания принципов обеспечения информационной безопасности  Мы предлагаем:  Крупную компанию, белую з/п, расширенный соц. пакет "
9,"Обязанности:  Участие в проекте внедрения (и последующего сопровождения) 1С:Бухгалтерия государственного учреждения; Анализ предметной области (сбор требований); Описание бизнес-процессов («as-is», «to bе»); Разработка Технических заданий (требований); Проведение тестирования; Участие в переносе данных из текущей системы учета; Обучение пользователей.  Требования:  Высшее образование (экономическое); Знание предметной области (практический опыт обязательно); Значение нормативно-правовых актов по функциональному направлению; Опыт работы бизнес-аналитиком на проектах внедрения 1С: Бухгалтерия государственного учреждения; Знание всех участков учета и отчетности государственного учреждения; Умение описывать технические требования для необходимой доработки системы; Оформление всей требуемой проектной документации.  Преимущества:  Опыт работы в государственных учреждениях в качестве бухгалтера (ведущего бухгалтера); Опыт работы на проектах внедрения 1С Бухгалтерия государственного учреждения; Практический опыт настройки и внедрения продуктов 1С.  Условия:  Оформление в соответствии с ТК РФ. "
